generated_faskes_id,kecamatan,jenis_faskes,nama_faskes,penyelenggara,status_lokasi
FSK0001,Asemrowo,Puskesmas Induk,Puskesmas Asemrowo,Pemerintah Kota,mapped
FSK0002,Asemrowo,Puskesmas Pembantu (Pustu),Pustu Tambak Langon,Pemerintah Kota,mapped
FSK0003,Asemrowo,Klinik Pratama,NAYAKA HUSADA 03,swasta,mapped
FSK0004,Benowo,Apotek,KIMIA FARMA BUKIT PALMA,lainnya,mapped
FSK0005,Benowo,Rumah Sakit Umum,RS Umum Daerah Bhakti Dharma Husada,Pemerintah Kota,mapped
FSK0006,Benowo,Puskesmas Induk,Puskesmas Sememi,Pemerintah Kota,mapped
FSK0007,Benowo,Puskesmas Pembantu (Pustu),Pustu Kandangan,Pemerintah Kota,mapped
FSK0008,Benowo,Puskesmas Pembantu (Pustu),Pustu Romo Kalisari,Pemerintah Kota,mapped
FSK0009,Benowo,Rumah Sakit Umum,RS Bunda,Swasta,mapped
FSK0010,Benowo,Apotek,KANDANGAN,swasta,mapped
FSK0011,Benowo,Apotek,K - 96,swasta,mapped
FSK0012,Benowo,Apotek,VIVA GENERIK KLAKAH REJO,swasta,mapped
FSK0013,Benowo,Apotek,RENO FARMA,swasta,mapped
FSK0014,Benowo,Apotek,HAPSARI,swasta,mapped
FSK0015,Benowo,Apotek,BENOWO APPOTIK,swasta,mapped
FSK0016,Benowo,Apotek,KUSURI MAINCARE,swasta,mapped
FSK0017,Benowo,Apotek,Wahyu Buana Medika,swasta,mapped
FSK0018,Benowo,Apotek,Pahala Bukit Palma,swasta,mapped
FSK0019,Benowo,Klinik Pratama,KARYA MEDIKA 111,swasta,mapped
FSK0020,Benowo,Klinik Pratama,DOKTER ANANG SURABAYA,swasta,mapped
FSK0021,Bubutan,Puskesmas Induk,Puskesmas Gundih,Pemerintah Kota,mapped
FSK0022,Bubutan,Puskesmas Induk,Puskesmas Tembok Dukuh,Pemerintah Kota,mapped
FSK0023,Bubutan,Puskesmas Pembantu (Pustu),Pustu Asem Jajar,Pemerintah Kota,mapped
FSK0024,Bubutan,Rumah Sakit Khusus,RS Ibu dan Anak IBI Surabaya,Swasta,mapped
FSK0025,Bubutan,Apotek,USAHA,swasta,mapped
FSK0026,Bubutan,Apotek,KALIBUTUH,swasta,mapped
FSK0027,Bubutan,Apotek,PRODERMA,swasta,mapped
FSK0028,Bubutan,Apotek,FILLINA,swasta,mapped
FSK0029,Bubutan,Apotek,NOVEM,swasta,mapped
FSK0030,Bubutan,Apotek,MEGA SURYA,swasta,mapped
FSK0031,Bubutan,Apotek,VIVA APOTEK PURWODADI,swasta,mapped
FSK0032,Bubutan,Toko Obat,CARREFOUR BUBUTAN,swasta,mapped
FSK0033,Bubutan,Toko Obat,XING LIN,swasta,mapped
FSK0034,Bubutan,Toko Obat,Super Indo Apartemen Gunawangsa,swasta,mapped
FSK0035,Bubutan,Klinik Pratama,Anugerah Karya Medika 102,swasta,mapped
FSK0036,Bubutan,Klinik Pratama,DON BOSCO,swasta,mapped
FSK0037,Bubutan,Klinik Pratama,SAMARIA,swasta,mapped
FSK0038,Bubutan,Klinik Pratama,DERMALOVE SCIENCE OF BEAUTY,swasta,mapped
FSK0039,Bulak,Apotek,Kimia Farma Suramadu,lainnya,mapped
FSK0040,Bulak,Puskesmas Induk,Puskesmas Kenjeran,Pemerintah Kota,mapped
FSK0041,Bulak,Puskesmas Pembantu (Pustu),Pustu Bulak,Pemerintah Kota,mapped
FSK0042,Bulak,Puskesmas Pembantu (Pustu),Pustu Kedung Cowek,Pemerintah Kota,mapped
FSK0043,Bulak,Apotek,VIVA APOTEK BULAK SETRO,swasta,mapped
FSK0044,Bulak,Apotek,BITA MEDIKA,swasta,mapped
FSK0045,Bulak,Apotek,Efi Barokah,swasta,mapped
FSK0046,Bulak,Toko Obat,DWIJAYA SENTOSA ABADI,swasta,mapped
FSK0047,Bulak,Klinik Pratama,KENJERAN DISKES LANTAMAL V,TNI/POLRI,mapped
FSK0048,Bulak,Klinik Pratama,PUSDIKLAT HANUDNAS,TNI/POLRI,mapped
FSK0049,,Klinik Pratama,KIMIA FARMA DARMO,swasta,unknown
FSK0050,Dukuh Pakis,Apotek,KIMIA FARMA 52,lainnya,mapped
FSK0051,Dukuh Pakis,Klinik Pratama,GUNUNGSARI,lainnya,mapped
FSK0052,Dukuh Pakis,Puskesmas Induk,Puskesmas Dukuh Kupang,Pemerintah Kota,mapped
FSK0053,Dukuh Pakis,Puskesmas Pembantu (Pustu),Pustu Gunungsari,Pemerintah Kota,mapped
FSK0054,Dukuh Pakis,Puskesmas Pembantu (Pustu),Pustu Pradah Kali Kendal,Pemerintah Kota,mapped
FSK0055,Dukuh Pakis,Apotek,DUTA FARMA,swasta,mapped
FSK0056,Dukuh Pakis,Apotek,TIARA,swasta,mapped
FSK0057,Dukuh Pakis,Apotek,TIARA BUKIT DARMO,swasta,mapped
FSK0058,Dukuh Pakis,Apotek,ETIKA FARMA,swasta,mapped
FSK0059,Dukuh Pakis,Apotek,INDAH FARMA,swasta,mapped
FSK0060,Dukuh Pakis,Apotek,PHARMACARE,swasta,mapped
FSK0061,Dukuh Pakis,Apotek,E - MEDICA,swasta,mapped
FSK0062,Dukuh Pakis,Apotek,GUARDIAN SURABAYA CIPUTRA WORLD,swasta,mapped
FSK0063,Dukuh Pakis,Apotek,K - 24 DUKUH KUPANG,swasta,mapped
FSK0064,Dukuh Pakis,Apotek,SIAGA FARMA 2,swasta,mapped
FSK0065,Dukuh Pakis,Apotek,MAHARVA MEDIKA,swasta,mapped
FSK0066,Dukuh Pakis,Apotek,WATSONS LENMARC,swasta,mapped
FSK0067,Dukuh Pakis,Apotek,Halomedika Dukuh Pakis,swasta,mapped
FSK0068,Dukuh Pakis,Toko Obat,HYPERMART CIPUTRA WORLD,swasta,mapped
FSK0069,Dukuh Pakis,Toko Obat,toko Obat PT. Trans Retail Indonesia Cabang Transmart Carrefour Lenmarc Surabaya,swasta,mapped
FSK0070,Dukuh Pakis,Toko Obat,Super Indo HR. Muhammad,swasta,mapped
FSK0071,Dukuh Pakis,Klinik Utama,GIGI SEHAT,swasta,mapped
FSK0072,Dukuh Pakis,Klinik Pratama,ANUGRAH,swasta,mapped
FSK0073,Dukuh Pakis,Klinik Pratama,REDEMPTOR MUNDI,swasta,mapped
FSK0074,Dukuh Pakis,Klinik Pratama,Q - LIFE KLINIK,swasta,mapped
FSK0075,Dukuh Pakis,Klinik Pratama,TANATA,swasta,mapped
FSK0076,Dukuh Pakis,Klinik Pratama,ERNADE,swasta,mapped
FSK0077,Dukuh Pakis,Klinik Pratama,MAHARVA,swasta,mapped
FSK0078,Dukuh Pakis,Klinik Pratama,DIANDRA,swasta,mapped
FSK0079,Dukuh Pakis,Klinik Pratama,DERMASTER,swasta,mapped
FSK0080,Dukuh Pakis,Klinik Pratama,dr. MF,swasta,mapped
FSK0081,Dukuh Pakis,Klinik Pratama,MEDIKA HOLISTIK,swasta,mapped
FSK0082,Dukuh Pakis,Klinik Pratama,MAHARVA,swasta,mapped
FSK0083,Dukuh Pakis,Klinik Utama,GIGI SEHAT,swasta,mapped
FSK0084,Dukuh Pakis,Klinik Utama,ESTHER,swasta,mapped
FSK0085,Dukuh Pakis,Klinik Utama,ROYAL CLINIC,swasta,mapped
FSK0086,Dukuh Pakis,Klinik Utama,PWHC,swasta,mapped
FSK0087,Dukuh Pakis,Klinik Utama,WIJAYA KUSUMA,swasta,mapped
FSK0088,Dukuh Pakis,Klinik Utama,DENTALPOINT,swasta,mapped
FSK0089,Dukuh Pakis,Klinik Utama,PROSPEK,swasta,mapped
FSK0090,Dukuh Pakis,Klinik Utama,SKINDA DERMATOAESTHETIC CLINIC,swasta,mapped
FSK0091,Dukuh Pakis,Klinik Utama,REJUVA,swasta,mapped
FSK0092,Dukuh Pakis,Klinik Utama,PARAHITA DIAGNOSTIC CENTER,swasta,mapped
FSK0093,Dukuh Pakis,Klinik Utama,FDC,swasta,mapped
FSK0094,Dukuh Pakis,Klinik Utama,INDENTAL VILLA BUKIT MAS,swasta,mapped
FSK0095,Dukuh Pakis,Rumah Sakit Umum,RS Marinir Ewa Pangalila Gunungsari,TNI/POLRI,mapped
FSK0096,Gayungan,Apotek,KIMIA FARMA KETINTANG,lainnya,mapped
FSK0097,Gayungan,Puskesmas Induk,Puskesmas Gayungan,Pemerintah Kota,mapped
FSK0098,Gayungan,Puskesmas Pembantu (Pustu),Pustu Dukuh Menanggal,Pemerintah Kota,mapped
FSK0099,Gayungan,Labkesda/GFK,Labkesda Kota Surabaya,Pemerintah Kota,mapped
FSK0100,Gayungan,Rumah Sakit Khusus,RS Mata Masyarakat Jawa Timur,Pemerintah Provinsi,mapped
FSK0101,Gayungan,Rumah Sakit Umum,RS Bhakti Rahayu,Swasta,mapped
FSK0102,Gayungan,Apotek,DHARMA,swasta,mapped
FSK0103,Gayungan,Apotek,NEW BINTANG,swasta,mapped
FSK0104,Gayungan,Apotek,RINDANG FARMA,swasta,mapped
FSK0105,Gayungan,Apotek,K - 24 MENANGGAL,swasta,mapped
FSK0106,Gayungan,Apotek,CIKAL,swasta,mapped
FSK0107,Gayungan,Apotek,PAHALA KETINTANG,swasta,mapped
FSK0108,Gayungan,Apotek,K - 24 GAYUNGAN,swasta,mapped
FSK0109,Gayungan,Apotek,MEDSENTRAL,swasta,mapped
FSK0110,Gayungan,Apotek,TELKOMEDIKA KETINTANG,swasta,mapped
FSK0111,Gayungan,Toko Obat,BOSTON HEALTH & BEAUTY CITO / HYPERMART CITO,swasta,mapped
FSK0112,Gayungan,Toko Obat,GUARDIAN ROYAL PLAZA,swasta,mapped
FSK0113,Gayungan,Klinik Pratama,PONDOK KASIH,swasta,mapped
FSK0114,Gayungan,Klinik Pratama,ADI HAYATI,swasta,mapped
FSK0115,Gayungan,Klinik Pratama,YAKES TELKOM,swasta,mapped
FSK0116,Gayungan,Klinik Pratama,DINA AKUPUNTUR & BEAUTY CARE,swasta,mapped
FSK0117,Gayungan,Klinik Utama,CITRA MEDICAL CENTRE,swasta,mapped
