puskesmas_id,kecamatan,bulan,pasien_baru,pasien_lama,total_kunjungan
PKM001,Asemrowo,Agustus,442.0,4227.0,4669.0
PKM001,Asemrowo,April,388.0,3582.0,3970.0
PKM001,Asemrowo,Desember,408.0,4372.0,4780.0
PKM001,Asemrowo,Februari,405.0,2929.0,3334.0
PKM001,Asemrowo,Januari,686.0,4317.0,5003.0
PKM001,Asemrowo,Juli,483.0,4272.0,4755.0
PKM001,Asemrowo,Juni,431.0,3373.0,3804.0
PKM001,Asemrowo,Maret,388.0,3582.0,3970.0
PKM001,Asemrowo,Mei,371.0,3242.0,3613.0
PKM001,Asemrowo,November,22.0,139.0,161.0
PKM001,Asemrowo,Oktober,22.0,139.0,161.0
PKM001,Asemrowo,September,393.0,3902.0,4295.0
PKM002,Tandes,Agustus,430.0,3601.0,4031.0
PKM002,Tandes,April,379.0,3391.0,3770.0
PKM002,Tandes,Desember,385.0,3545.0,3930.0
PKM002,Tandes,Februari,415.0,2689.0,3104.0
PKM002,Tandes,Januari,579.0,3719.0,4298.0
PKM002,Tandes,Juli,524.0,3744.0,4268.0
PKM002,Tandes,Juni,461.0,2944.0,3405.0
PKM002,Tandes,Maret,379.0,3391.0,3770.0
PKM002,Tandes,Mei,353.0,2952.0,3305.0
PKM002,Tandes,November,375.0,3360.0,3735.0
PKM002,Tandes,Oktober,19.0,133.0,152.0
PKM002,Tandes,September,,,
PKM003,Sawahan,Agustus,516.0,5689.0,6205.0
PKM003,Sawahan,April,522.0,5218.0,5740.0
PKM003,Sawahan,Desember,438.0,5520.0,5958.0
PKM003,Sawahan,Februari,569.0,3844.0,4413.0
PKM003,Sawahan,Januari,789.0,5807.0,6596.0
PKM003,Sawahan,Juli,606.0,6155.0,6761.0
PKM003,Sawahan,Juni,515.0,5007.0,5522.0
PKM003,Sawahan,Maret,522.0,5218.0,5740.0
PKM003,Sawahan,Mei,471.0,5075.0,5546.0
PKM003,Sawahan,November,,,
PKM003,Sawahan,Oktober,26.0,206.0,232.0
PKM003,Sawahan,September,,,
PKM004,Pakal,Agustus,692.0,5478.0,6170.0
PKM004,Pakal,April,399.0,4230.0,4629.0
PKM004,Pakal,Desember,437.0,4908.0,5345.0
PKM004,Pakal,Februari,541.0,4457.0,4998.0
PKM004,Pakal,Januari,651.0,4930.0,5581.0
PKM004,Pakal,Juli,710.0,5578.0,6288.0
PKM004,Pakal,Juni,506.0,4214.0,4720.0
PKM004,Pakal,Maret,399.0,4230.0,4629.0
PKM004,Pakal,Mei,367.0,4045.0,4412.0
PKM004,Pakal,November,,,
PKM004,Pakal,Oktober,22.0,204.0,226.0
PKM004,Pakal,September,,,
PKM005,Tegalsari,Agustus,492.0,4339.0,4831.0
PKM005,Tegalsari,April,425.0,3931.0,4356.0
PKM005,Tegalsari,Desember,512.0,3906.0,4418.0
PKM005,Tegalsari,Februari,455.0,2811.0,3266.0
PKM005,Tegalsari,Januari,693.0,3510.0,4203.0
PKM005,Tegalsari,Juli,506.0,4428.0,4934.0
PKM005,Tegalsari,Juni,399.0,3661.0,4060.0
PKM005,Tegalsari,Maret,425.0,3931.0,4356.0
PKM005,Tegalsari,Mei,399.0,3423.0,3822.0
PKM005,Tegalsari,November,,,
PKM005,Tegalsari,Oktober,11.0,162.0,173.0
PKM005,Tegalsari,September,,,
PKM006,Dukuh Pakis,Agustus,1258.0,5530.0,6788.0
PKM006,Dukuh Pakis,April,756.0,4995.0,5751.0
PKM006,Dukuh Pakis,Desember,944.0,5957.0,6901.0
PKM006,Dukuh Pakis,Februari,832.0,4120.0,4952.0
PKM006,Dukuh Pakis,Januari,1351.0,5647.0,6998.0
PKM006,Dukuh Pakis,Juli,1170.0,5643.0,6813.0
PKM006,Dukuh Pakis,Juni,854.0,4788.0,5642.0
PKM006,Dukuh Pakis,Maret,756.0,4995.0,5751.0
PKM006,Dukuh Pakis,Mei,795.0,4574.0,5369.0
PKM006,Dukuh Pakis,November,,,
PKM006,Dukuh Pakis,Oktober,24.0,218.0,242.0
PKM006,Dukuh Pakis,September,,,
PKM007,Krembangan,Agustus,316.0,3885.0,4201.0
