kecamatan,jumlah_penduduk,laju_pertumbuhan,persentase_penduduk,kepadatan_penduduk,rasio_jenis_kelamin
Karang Pilang,75.5,-0.09,2.5,8041,97.6
Jambangan,54.2,0.02,1.8,13222,98.0
Gayungan,43.8,-0.35,1.45,7444,95.3
Wonocolo,80.0,0.06,2.65,12256,97.4
Tenggilis Mejoyo,58.9,-0.1,1.95,10143,96.8
Gunung Anyar,62.3,1.26,2.07,6142,97.6
Rungkut,123.7,1.4,4.1,5397,97.5
Sukolilo,115.9,0.71,3.84,3845,97.1
Mulyorejo,88.2,0.75,2.92,5079,96.3
Gubeng,132.4,-1.06,4.39,16757,95.5
Wonokromo,153.6,-0.92,5.09,18591,96.2
Dukuh Pakis,59.3,-0.31,1.97,5784,97.8
Wiyung,76.5,1.48,2.53,6179,98.9
Lakarsantri,65.0,1.48,2.15,3440,99.5
Sambikerep,69.1,1.67,2.29,4023,98.6
Tandes,91.8,-0.15,3.04,9234,96.6
Suko Manunggal,104.2,-0.59,3.45,11237,98.7
Sawahan,198.5,-0.41,6.58,27648,97.6
Tegalsari,97.5,-0.82,3.23,22624,97.1
Genteng,58.2,-0.9,1.93,14339,96.0
Tambaksari,227.0,0.01,7.52,25309,97.9
Kenjeran,185.3,2.2,6.14,21774,101.2
Bulak,47.8,1.61,1.59,7667,99.0
Simokerto,92.1,-0.68,3.05,35271,98.8
Semampir,183.3,0.51,6.07,20254,100.4
Pabean Cantian,73.9,-0.75,2.45,13491,98.5
Bubutan,96.7,-0.58,3.2,24860,98.2
Krembangan,114.9,-0.39,3.81,13357,98.8
Asemrowo,48.8,1.71,1.62,3245,101.8
Benowo,74.9,2.22,2.48,2813,99.9
Pakal,64.5,2.87,2.14,3474,100.7
