kecamatan,nama_faskes,jenis_penyakit,bulan,jumlah_kasus
Asemrowo,Puskesmas Asemrowo,"Endokrin, nutrisi dan gangguan metabolik",Januari,353
Asemrowo,Puskesmas Asemrowo,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,511
Asemrowo,Puskesmas Asemrowo,Gangguan jiwa dan perilaku,Januari,21
Asemrowo,Puskesmas Asemrowo,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,198
Asemrowo,Puskesmas Asemrowo,Keadaan yang berasal dari periode perinatal,Januari,3
Asemrowo,Puskesmas Asemrowo,Kehamilan dan kelahiran,Januari,9
Asemrowo,Puskesmas Asemrowo,"Keracunan, cedera dan beberapa penyebab yang dari luar",Januari,81
Asemrowo,Puskesmas Asemrowo,"Malformasi kongenital, deformasi dan kelainan chromosom",Januari,3
Asemrowo,Puskesmas Asemrowo,Neoplasma,Januari,39
Asemrowo,Puskesmas Asemrowo,Penyakit Infeksi dan parasit,Januari,283
Asemrowo,Puskesmas Asemrowo,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,Januari,3
Asemrowo,Puskesmas Asemrowo,Penyakit mata dan adnexa,Januari,136
Asemrowo,Puskesmas Asemrowo,Penyakit pada kulit dan jaringan subcutaneous,Januari,218
Asemrowo,Puskesmas Asemrowo,Penyakit pada sistem musculoskletal,Januari,265
Asemrowo,Puskesmas Asemrowo,Penyakit pada sistem pencernaan,Januari,529
Asemrowo,Puskesmas Asemrowo,Penyakit pada sistem pernafasan,Januari,872
Asemrowo,Puskesmas Asemrowo,Penyakit pada sistem saluran kemih dan genital,Januari,84
Asemrowo,Puskesmas Asemrowo,Penyakit pada sistem sirkulasi,Januari,421
Asemrowo,Puskesmas Asemrowo,Penyakit telinga dan mastoid,Januari,141
Asemrowo,Puskesmas Asemrowo,Penyakit yang mengenai sistem syaraf,Januari,87
Asemrowo,Puskesmas Asemrowo,Penyebab morbiditas dan kematian eksternal,Januari,3
Benowo,Puskesmas Sememi,"Endokrin, nutrisi dan gangguan metabolik",Januari,169
Benowo,Puskesmas Sememi,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,1287
Benowo,Puskesmas Sememi,Gangguan jiwa dan perilaku,Januari,21
Benowo,Puskesmas Sememi,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,312
Benowo,Puskesmas Sememi,Keadaan yang berasal dari periode perinatal,Januari,12
Benowo,Puskesmas Sememi,Kehamilan dan kelahiran,Januari,31
Benowo,Puskesmas Sememi,"Keracunan, cedera dan beberapa penyebab yang dari luar",Januari,80
Benowo,Puskesmas Sememi,"Malformasi kongenital, deformasi dan kelainan chromosom",Januari,3
Benowo,Puskesmas Sememi,Neoplasma,Januari,29
Benowo,Puskesmas Sememi,Penyakit Infeksi dan parasit,Januari,295
Benowo,Puskesmas Sememi,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,Januari,8
Benowo,Puskesmas Sememi,Penyakit mata dan adnexa,Januari,130
Benowo,Puskesmas Sememi,Penyakit pada kulit dan jaringan subcutaneous,Januari,234
Benowo,Puskesmas Sememi,Penyakit pada sistem musculoskletal,Januari,270
Benowo,Puskesmas Sememi,Penyakit pada sistem pencernaan,Januari,820
Benowo,Puskesmas Sememi,Penyakit pada sistem pernafasan,Januari,560
Benowo,Puskesmas Sememi,Penyakit pada sistem saluran kemih dan genital,Januari,91
Benowo,Puskesmas Sememi,Penyakit pada sistem sirkulasi,Januari,132
Benowo,Puskesmas Sememi,Penyakit telinga dan mastoid,Januari,120
Benowo,Puskesmas Sememi,Penyakit yang mengenai sistem syaraf,Januari,89
Benowo,Puskesmas Sememi,Penyebab morbiditas dan kematian eksternal,Januari,7
Bubutan,Puskesmas Gundih,"Endokrin, nutrisi dan gangguan metabolik",Januari,70
Bubutan,Puskesmas Gundih,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,497
Bubutan,Puskesmas Gundih,Gangguan jiwa dan perilaku,Januari,23
Bubutan,Puskesmas Gundih,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,189
Bubutan,Puskesmas Gundih,Keadaan yang berasal dari periode perinatal,Januari,1
Bubutan,Puskesmas Gundih,Kehamilan dan kelahiran,Januari,63
Bubutan,Puskesmas Gundih,"Keracunan, cedera dan beberapa penyebab yang dari luar",Januari,45
Bubutan,Puskesmas Gundih,"Malformasi kongenital, deformasi dan kelainan chromosom",Januari,1
Bubutan,Puskesmas Gundih,Neoplasma,Januari,12
Bubutan,Puskesmas Gundih,Penyakit Infeksi dan parasit,Januari,191
Bubutan,Puskesmas Gundih,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,Januari,2
Bubutan,Puskesmas Gundih,Penyakit mata dan adnexa,Januari,54
Bubutan,Puskesmas Gundih,Penyakit pada kulit dan jaringan subcutaneous,Januari,135
Bubutan,Puskesmas Gundih,Penyakit pada sistem musculoskletal,Januari,206
Bubutan,Puskesmas Gundih,Penyakit pada sistem pencernaan,Januari,471
Bubutan,Puskesmas Gundih,Penyakit pada sistem pernafasan,Januari,661
Bubutan,Puskesmas Gundih,Penyakit pada sistem saluran kemih dan genital,Januari,30
Bubutan,Puskesmas Gundih,Penyakit pada sistem sirkulasi,Januari,50
Bubutan,Puskesmas Gundih,Penyakit telinga dan mastoid,Januari,67
Bubutan,Puskesmas Gundih,Penyakit yang mengenai sistem syaraf,Januari,23
Bubutan,Puskesmas Gundih,Penyebab morbiditas dan kematian eksternal,Januari,2
Bubutan,Puskesmas Tembok Dukuh,"Endokrin, nutrisi dan gangguan metabolik",Januari,69
Bubutan,Puskesmas Tembok Dukuh,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,798
Bubutan,Puskesmas Tembok Dukuh,Gangguan jiwa dan perilaku,Januari,4
Bubutan,Puskesmas Tembok Dukuh,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,101
Bubutan,Puskesmas Tembok Dukuh,Keadaan yang berasal dari periode perinatal,Januari,0
Bubutan,Puskesmas Tembok Dukuh,Kehamilan dan kelahiran,Januari,15
Bubutan,Puskesmas Tembok Dukuh,"Keracunan, cedera dan beberapa penyebab yang dari luar",Januari,61
Bubutan,Puskesmas Tembok Dukuh,"Malformasi kongenital, deformasi dan kelainan chromosom",Januari,1
Bubutan,Puskesmas Tembok Dukuh,Neoplasma,Januari,22
Bubutan,Puskesmas Tembok Dukuh,Penyakit Infeksi dan parasit,Januari,149
Bubutan,Puskesmas Tembok Dukuh,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,Januari,5
Bubutan,Puskesmas Tembok Dukuh,Penyakit mata dan adnexa,Januari,76
Bubutan,Puskesmas Tembok Dukuh,Penyakit pada kulit dan jaringan subcutaneous,Januari,104
Bubutan,Puskesmas Tembok Dukuh,Penyakit pada sistem musculoskletal,Januari,163
Bubutan,Puskesmas Tembok Dukuh,Penyakit pada sistem pencernaan,Januari,451
Bubutan,Puskesmas Tembok Dukuh,Penyakit pada sistem pernafasan,Januari,372
Bubutan,Puskesmas Tembok Dukuh,Penyakit pada sistem saluran kemih dan genital,Januari,39
Bubutan,Puskesmas Tembok Dukuh,Penyakit pada sistem sirkulasi,Januari,86
Bubutan,Puskesmas Tembok Dukuh,Penyakit telinga dan mastoid,Januari,48
Bubutan,Puskesmas Tembok Dukuh,Penyakit yang mengenai sistem syaraf,Januari,33
Bubutan,Puskesmas Tembok Dukuh,Penyebab morbiditas dan kematian eksternal,Januari,0
Bulak,Puskesmas Kenjeran,"Endokrin, nutrisi dan gangguan metabolik",Januari,68
Bulak,Puskesmas Kenjeran,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,506
Bulak,Puskesmas Kenjeran,Gangguan jiwa dan perilaku,Januari,17
Bulak,Puskesmas Kenjeran,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,176
Bulak,Puskesmas Kenjeran,Keadaan yang berasal dari periode perinatal,Januari,6
Bulak,Puskesmas Kenjeran,Kehamilan dan kelahiran,Januari,32
Bulak,Puskesmas Kenjeran,"Keracunan, cedera dan beberapa penyebab yang dari luar",Januari,40
Bulak,Puskesmas Kenjeran,"Malformasi kongenital, deformasi dan kelainan chromosom",Januari,0
Bulak,Puskesmas Kenjeran,Neoplasma,Januari,5
Bulak,Puskesmas Kenjeran,Penyakit Infeksi dan parasit,Januari,153
Bulak,Puskesmas Kenjeran,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,Januari,6
Bulak,Puskesmas Kenjeran,Penyakit mata dan adnexa,Januari,52
Bulak,Puskesmas Kenjeran,Penyakit pada kulit dan jaringan subcutaneous,Januari,118
Bulak,Puskesmas Kenjeran,Penyakit pada sistem musculoskletal,Januari,212
Bulak,Puskesmas Kenjeran,Penyakit pada sistem pencernaan,Januari,548
Bulak,Puskesmas Kenjeran,Penyakit pada sistem pernafasan,Januari,467
Bulak,Puskesmas Kenjeran,Penyakit pada sistem saluran kemih dan genital,Januari,29
Bulak,Puskesmas Kenjeran,Penyakit pada sistem sirkulasi,Januari,63
Bulak,Puskesmas Kenjeran,Penyakit telinga dan mastoid,Januari,53
Bulak,Puskesmas Kenjeran,Penyakit yang mengenai sistem syaraf,Januari,8
Bulak,Puskesmas Kenjeran,Penyebab morbiditas dan kematian eksternal,Januari,1
Dukuh Pakis,Puskesmas Dukuh Kupang,"Endokrin, nutrisi dan gangguan metabolik",Januari,30
Dukuh Pakis,Puskesmas Dukuh Kupang,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,311
Dukuh Pakis,Puskesmas Dukuh Kupang,Gangguan jiwa dan perilaku,Januari,5
Dukuh Pakis,Puskesmas Dukuh Kupang,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,169
Dukuh Pakis,Puskesmas Dukuh Kupang,Keadaan yang berasal dari periode perinatal,Januari,1
Dukuh Pakis,Puskesmas Dukuh Kupang,Kehamilan dan kelahiran,Januari,6
Dukuh Pakis,Puskesmas Dukuh Kupang,"Keracunan, cedera dan beberapa penyebab yang dari luar",Januari,24
Dukuh Pakis,Puskesmas Dukuh Kupang,"Malformasi kongenital, deformasi dan kelainan chromosom",Januari,1
Dukuh Pakis,Puskesmas Dukuh Kupang,Neoplasma,Januari,32
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit Infeksi dan parasit,Januari,117
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,Januari,8
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit mata dan adnexa,Januari,76
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada kulit dan jaringan subcutaneous,Januari,92
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem musculoskletal,Januari,151
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem pencernaan,Januari,590
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem pernafasan,Januari,326
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem saluran kemih dan genital,Januari,32
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem sirkulasi,Januari,81
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit telinga dan mastoid,Januari,24
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit yang mengenai sistem syaraf,Januari,12
Dukuh Pakis,Puskesmas Dukuh Kupang,Penyebab morbiditas dan kematian eksternal,Januari,1
Gayungan,Puskesmas Gayungan,"Endokrin, nutrisi dan gangguan metabolik",Januari,139
Gayungan,Puskesmas Gayungan,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,1993
Gayungan,Puskesmas Gayungan,Gangguan jiwa dan perilaku,Januari,11
Gayungan,Puskesmas Gayungan,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,164
Gayungan,Puskesmas Gayungan,Keadaan yang berasal dari periode perinatal,Januari,4
Gayungan,Puskesmas Gayungan,Kehamilan dan kelahiran,Januari,45
Gayungan,Puskesmas Gayungan,"Keracunan, cedera dan beberapa penyebab yang dari luar",Januari,65
Gayungan,Puskesmas Gayungan,"Malformasi kongenital, deformasi dan kelainan chromosom",Januari,1
Gayungan,Puskesmas Gayungan,Neoplasma,Januari,18
Gayungan,Puskesmas Gayungan,Penyakit Infeksi dan parasit,Januari,205
Gayungan,Puskesmas Gayungan,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,Januari,2
Gayungan,Puskesmas Gayungan,Penyakit mata dan adnexa,Januari,82
Gayungan,Puskesmas Gayungan,Penyakit pada kulit dan jaringan subcutaneous,Januari,151
Gayungan,Puskesmas Gayungan,Penyakit pada sistem musculoskletal,Januari,252
Gayungan,Puskesmas Gayungan,Penyakit pada sistem pencernaan,Januari,579
Gayungan,Puskesmas Gayungan,Penyakit pada sistem pernafasan,Januari,468
Gayungan,Puskesmas Gayungan,Penyakit pada sistem saluran kemih dan genital,Januari,31
Gayungan,Puskesmas Gayungan,Penyakit pada sistem sirkulasi,Januari,212
Gayungan,Puskesmas Gayungan,Penyakit telinga dan mastoid,Januari,59
Gayungan,Puskesmas Gayungan,Penyakit yang mengenai sistem syaraf,Januari,17
Gayungan,Puskesmas Gayungan,Penyebab morbiditas dan kematian eksternal,Januari,0
Genteng,Puskesmas Ketabang,"Endokrin, nutrisi dan gangguan metabolik",Januari,168
Genteng,Puskesmas Ketabang,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,Januari,351
Genteng,Puskesmas Ketabang,Gangguan jiwa dan perilaku,Januari,9
Genteng,Puskesmas Ketabang,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",Januari,99
