kecamatan,perawat,bidan,tenaga_kefarmasian,tenaga_kesehatan_masyarakat,tenaga_kesehatan_lingkungan,tenaga_gizi,tenaga_medis,psikologi_klinis,keterapian_fisik,keteknisan_medis,teknik_biomedika,tenaga_kesehatan_tradisional
Karang Pilang,26,34,24,3,2,5,68,,1.0,19,11,1
Jambangan,52,58,12,4,9,5,68,2.0,,20,9,6
Gayungan,523,116,50,36,11,21,388,2.0,6.0,94,153,4
Wonocolo,474,105,42,110,8,21,338,4.0,19.0,101,127,57
Tenggilis Mejoyo,437,84,65,7,3,7,414,1.0,16.0,73,131,9
Gunung Anyar,40,24,26,3,1,3,63,,,18,17,2
Rungkut,330,127,78,3,10,14,259,2.0,5.0,85,86,30
Sukolilo,1107,199,144,6,20,41,1040,11.0,45.0,184,339,63
Mulyorejo,1220,181,174,4,16,37,893,6.0,46.0,194,316,35
Gubeng,2738,284,222,4,44,92,1884,18.0,93.0,564,918,226
Wonokromo,2884,414,148,6,33,78,1465,5.0,106.0,398,617,132
Dukuh Pakis,252,81,64,2,4,6,336,1.0,9.0,55,103,219
Wiyung,761,158,70,2,16,26,509,2.0,25.0,121,160,16
Lakarsantri,40,34,22,6,6,8,77,,,16,16,12
Sambikerep,373,101,67,5,12,15,412,,21.0,75,117,29
Tandes,118,67,26,8,7,7,74,2.0,3.0,26,34,2
Suko Manunggal,436,65,50,9,4,19,368,2.0,37.0,102,76,10
Sawahan,266,74,71,5,9,18,271,3.0,14.0,81,67,113
Tegalsari,419,69,83,5,6,19,480,4.0,14.0,81,154,20
Genteng,731,104,67,8,15,24,530,,12.0,167,203,26
Tambaksari,425,103,71,4,10,26,629,4.0,16.0,119,142,5
Kenjeran,47,58,22,11,5,10,57,2.0,,16,18,6
Bulak,80,23,44,3,6,8,44,1.0,7.0,20,23,8
Simokerto,765,163,50,9,15,36,315,2.0,28.0,112,181,2
Semampir,225,77,31,12,11,21,147,3.0,5.0,41,74,5
Pabean Cantian,776,142,69,3,10,20,511,1.0,33.0,186,153,27
Bubutan,47,70,28,6,6,12,60,2.0,1.0,26,28,9
Krembangan,231,62,31,6,12,11,209,1.0,5.0,29,68,4
Asemrowo,15,24,8,4,3,4,21,,,5,3,1
Benowo,395,104,36,2,9,16,178,2.0,5.0,86,103,1
Pakal,150,56,30,3,4,6,118,,8.0,40,38,1
