kecamatan,jumlah_penduduk,kepadatan_penduduk,total_kunjungan,visits_per_1000,total_tenaga_kesehatan,nakes_per_1000,jumlah_perawat,perawat_per_1000,jumlah_bidan,bidan_per_1000,jumlah_tenaga_medis,doctors_per_1000,total_faskes,faskes_per_100k,jumlah_puskesmas,puskesmas_per_100k,jumlah_pustu,pustu_per_100k,total_tempat_tidur,beds_per_1000,total_kasus_penyakit,disease_per_1000,workforce_growth,demand_growth,workforce_demand_mismatch,jenis_penyakit_dominan,kasus_penyakit_tertinggi,jumlah_jenis_penyakit,distance_to_facility,travel_time,accessibility_gap
Asemrowo,48.8,3245,42515.0,871.2090163934427,88.0,1.8032786885245902,15,0.3073770491803279,24,0.4918032786885246,21,0.43032786885245905,3,6.147540983606557,1,2.0491803278688523,0.0,0.0,0.0,0.0,42811,877.2745901639344,,,,Penyakit pada sistem pernafasan,10733,21,,,
Benowo,74.9,2813,53150.0,709.6128170894526,937.0,12.510013351134848,395,5.27369826435247,104,1.3885180240320427,178,2.376502002670227,17,22.696929238985316,1,1.335113484646195,0.0,0.0,264.0,3.5246995994659547,46660,622.9639519359146,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,15690,21,,,
Bubutan,96.7,24860,79779.0,825.015511892451,295.0,3.050672182006205,47,0.48603929679420893,70,0.7238883143743537,60,0.6204756980351602,18,18.61427094105481,2,2.0682523267838677,0.0,0.0,36.0,0.37228541882109617,61743,638.5005170630816,,,,Penyakit pada sistem pernafasan,14858,21,,,
Bulak,47.8,7667,34306.0,717.6987447698745,267.0,5.585774058577406,80,1.6736401673640167,23,0.4811715481171548,44,0.9205020920502092,10,20.920502092050206,1,2.0920502092050213,0.0,0.0,0.0,0.0,25988,543.6820083682007,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,5902,21,,,
Dukuh Pakis,59.3,5784,55207.0,930.9780775716695,1132.0,19.0893760539629,252,4.249578414839798,81,1.3659359190556493,336,5.66610455311973,46,77.5716694772344,1,1.6863406408094435,0.0,0.0,111.0,1.8718381112984823,24039,405.37942664418216,,,,Penyakit pada sistem pencernaan,6492,21,,,
Gayungan,43.8,7444,47364.0,1081.3698630136985,1404.0,32.054794520547944,523,11.940639269406393,116,2.6484018264840183,388,8.858447488584476,29,66.21004566210046,1,2.2831050228310503,0.0,0.0,346.0,7.899543378995435,37028,845.3881278538813,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,10213,21,,,
Genteng,58.2,14339,70385.0,1209.3642611683847,1887.0,32.422680412371136,731,12.560137457044673,104,1.7869415807560138,530,9.106529209621995,38,65.29209621993127,2,3.4364261168384878,0.0,0.0,253.0,4.347079037800687,65970,1133.5051546391753,,,,Penyakit pada sistem pernafasan,16565,21,,,
Gubeng,132.4,16757,108091.0,816.3972809667673,7087.0,53.527190332326285,2738,20.6797583081571,284,2.1450151057401814,1884,14.229607250755286,90,67.97583081570997,2,1.5105740181268883,0.0,0.0,675.0,5.098187311178248,104995,793.0135951661631,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,29273,21,,,
Gunung Anyar,62.3,6142,40850.0,655.6982343499197,197.0,3.162118780096308,40,0.6420545746388443,24,0.3852327447833066,63,1.0112359550561798,24,38.523274478330656,1,1.6051364365971106,0.0,0.0,2.0,0.03210272873194221,35390,568.0577849117176,,,,Penyakit pada sistem pernafasan,7543,21,,,
Jambangan,54.2,13222,48729.0,899.0590405904059,245.0,4.52029520295203,52,0.959409594095941,58,1.070110701107011,68,1.2546125461254614,16,29.52029520295203,1,1.845018450184502,0.0,0.0,38.0,0.7011070110701108,22718,419.1512915129151,,,,Penyakit pada sistem pencernaan,5315,21,,,
Karang Pilang,75.5,8041,57768.0,765.1390728476821,194.0,2.56953642384106,26,0.3443708609271523,34,0.4503311258278146,68,0.9006622516556292,17,22.516556291390728,1,1.324503311258278,0.0,0.0,9.0,0.11920529801324503,53895,713.841059602649,,,,Penyakit pada sistem pernafasan,11682,21,,,
