kecamatan,healthcare_gap_score,priority_category,priority_rank,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,primary_root_cause,secondary_root_cause,tertiary_root_cause,root_cause_type,root_cause_confidence,root_cause_margin,workforce_issue,facility_issue,demand_issue,disease_issue,accessibility_issue,explanation,data_quality_status,centroid_lon,centroid_lat
Asemrowo,70.15513989743894,Sangat Tinggi,4,0.3616939818123988,0.9805380576135286,0.811640693516832,0.6827682422162238,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,MULTI_FACTOR,HIGH,0.16889736409669664,Low Nurse Ratio,Low Faskes Ratio,High Disease Burden,Penyakit pada sistem pernafasan (10733 cases),NOT_AVAILABLE,"Kecamatan Asemrowo memiliki Healthcare Gap Score sebesar 70.2 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.98), 2. Facility Capacity Gap (0.81), 3. Disease Burden Need (0.68). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.98. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.68968532665443,-7.237462990576181
Benowo,51.35474354261422,Tinggi,19,0.19849637638781195,0.7259070149390171,0.8132185997506384,0.3679134903898293,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,MEDIUM,0.08731158481162127,Low Nakes Ratio,Low Puskesmas Ratio,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (15690 cases),NOT_AVAILABLE,"Kecamatan Benowo memiliki Healthcare Gap Score sebesar 51.4 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.81), 2. Workforce Shortage Gap (0.73), 3. Disease Burden Need (0.37). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.81. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.64631001043648,-7.226751303763048
Bubutan,60.67386178995369,Sangat Tinggi,11,0.31957924002615035,0.9479907193158468,0.7451892816953024,0.3871488687893865,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.20280143762054437,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (14858 cases),NOT_AVAILABLE,"Kecamatan Bubutan memiliki Healthcare Gap Score sebesar 60.7 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.95), 2. Facility Capacity Gap (0.75), 3. Disease Burden Need (0.39). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.95. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.72784870198608,-7.248739216056178
Bulak,51.68150591971501,Tinggi,18,0.13024992102563587,0.9256725495447281,0.7304348140652591,0.26975677606494536,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.195237735479469,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (5902 cases),NOT_AVAILABLE,"Kecamatan Bulak memiliki Healthcare Gap Score sebesar 51.7 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.93), 2. Facility Capacity Gap (0.73), 3. Disease Burden Need (0.27). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.93. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.79010166328433,-7.238764361856334
Dukuh Pakis,40.00357255422035,Tinggi,28,0.2448495662967851,0.6974097014855809,0.48826143395997645,0.09852829207749217,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.20914826752560445,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pencernaan (6492 cases),NOT_AVAILABLE,"Kecamatan Dukuh Pakis memiliki Healthcare Gap Score sebesar 40.0 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.70), 2. Facility Capacity Gap (0.49), 3. High Demand Score (0.24). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.70. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.69997116170659,-7.291930255364654
Gayungan,47.14156707275817,Tinggi,24,0.4866478365533732,0.3397172272189605,0.4742402357956895,0.6432905221837185,0.0,DISEASE_BURDEN,HIGH_DEMAND,FACILITY_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.15664268563034534,Low Nurse Ratio,Low Puskesmas Ratio,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (10213 cases),NOT_AVAILABLE,"Kecamatan Gayungan memiliki Healthcare Gap Score sebesar 47.1 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (0.64), 2. High Demand Score (0.49), 3. Facility Capacity Gap (0.47). Indikator paling menonjol dalam model adalah High caseload of Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan, dengan sub-skor 0.64. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",COMPLETE,112.72691389145739,-7.329838395098926
Genteng,59.85690447198707,Tinggi,12,0.7055417411935954,0.39708644201051857,0.3389029487931825,1.0,0.0,DISEASE_BURDEN,HIGH_DEMAND,WORKFORCE_SHORTAGE,SINGLE_FACTOR,HIGH,0.29445825880640464,Low Nakes Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (16565 cases),NOT_AVAILABLE,"Kecamatan Genteng memiliki Healthcare Gap Score sebesar 59.9 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (1.00), 2. High Demand Score (0.71), 3. Workforce Shortage Gap (0.40). Indikator paling menonjol dalam model adalah High caseload of Penyakit pada sistem pernafasan, dengan sub-skor 1.00. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",COMPLETE,112.74484044140951,-7.259215096378251
Gubeng,37.01887111627209,Sedang,30,0.4294838984779567,0.0461987052925416,0.558972543909532,0.5784471062483251,0.0,DISEASE_BURDEN,FACILITY_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.019474562338793078,Low Midwife Ratio,Low Puskesmas Ratio,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (29273 cases),NOT_AVAILABLE,"Kecamatan Gubeng memiliki Healthcare Gap Score sebesar 37.0 dan termasuk kategori Sedang. Faktor kontributor utama adalah: 1. Disease Burden Need (0.58), 2. Facility Capacity Gap (0.56), 3. High Demand Score (0.43). Indikator paling menonjol dalam model adalah High caseload of Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan, dengan sub-skor 0.58. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",COMPLETE,112.75946515960307,-7.279719656693071
Gunung Anyar,52.762495604462224,Tinggi,15,0.12027547887004464,0.9725118716872212,0.6990080242381551,0.2999357301490571,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.2735038474490661,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (7543 cases),NOT_AVAILABLE,"Kecamatan Gunung Anyar memiliki Healthcare Gap Score sebesar 52.8 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.97), 2. Facility Capacity Gap (0.70), 3. Disease Burden Need (0.30). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.97. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.79504268675377,-7.337785904729432
Jambangan,50.17480408166324,Tinggi,21,0.21959302339564915,0.8983861144825754,0.7161926518743044,0.11557884539152101,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,SINGLE_FACTOR,HIGH,0.18219346260827107,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pencernaan (5315 cases),NOT_AVAILABLE,"Kecamatan Jambangan memiliki Healthcare Gap Score sebesar 50.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.90), 2. Facility Capacity Gap (0.72), 3. High Demand Score (0.22). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.90. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.71588095500564,-7.323093702435861
