kecamatan,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,workforce_demand_mismatch,healthcare_gap_score,priority_category,priority_rank,data_quality_status
Kenjeran,0.7622902472986846,1.0,0.8377499974845516,0.5760790744673342,0.0,,81.14528885799825,Kritis,1,COMPLETE
Krembangan,0.5830457157984662,0.9031501486939921,0.7735578780319756,0.6613702893538563,0.0,,73.28443928249038,Sangat Tinggi,2,COMPLETE
Semampir,0.5987618010064604,0.9577368926556884,0.819416517064218,0.46358681670637,0.0,,72.35502748527622,Sangat Tinggi,3,COMPLETE
Sawahan,0.6640199018951047,0.9433183116446595,0.8027007502615384,0.36096317245734877,0.0,,71.49342486057067,Sangat Tinggi,4,COMPLETE
Tandes,0.5111116470611541,0.9304780874809275,0.7593401835757493,0.6152163725782765,0.0,,70.73882315934297,Sangat Tinggi,5,COMPLETE
Lakarsantri,0.5270239615202817,0.9500824502931929,0.5156013230053654,0.719760897321064,0.0,,69.02043676093282,Sangat Tinggi,6,COMPLETE
Asemrowo,0.19949095848681633,0.9804114036510466,0.8697754334480199,0.6827682422162238,0.0,,66.44794437742077,Sangat Tinggi,7,COMPLETE
Rungkut,0.4539691173187045,0.8414916178194153,0.7174616271798407,0.5557296280929925,0.0,,64.32764715960026,Sangat Tinggi,8,COMPLETE
Wonocolo,0.5987991266375546,0.6924767729103898,0.5279961482718332,0.703490971254408,0.0,,63.36801937696316,Sangat Tinggi,9,COMPLETE
Karang Pilang,0.18089323978622135,0.9696552265989002,0.8600588540480141,0.48042584685466255,0.0,,61.326148009607174,Sangat Tinggi,10,COMPLETE
Bubutan,0.2903876565510785,0.9519654060398528,0.8153490786269837,0.3871488687893865,0.0,,61.32055082605534,Sangat Tinggi,11,COMPLETE
Tambaksari,0.5257886806610611,0.8857131470727342,0.848811287216394,0.0,0.0,,59.32128057634174,Tinggi,12,COMPLETE
Suko Manunggal,0.3806423562710125,0.8043035741575726,0.7683028607898084,0.4109389249100609,0.0,,59.13321362685494,Tinggi,13,COMPLETE
Genteng,0.5167525040029112,0.38245824131146655,0.4793295091467543,1.0,0.0,,56.562912542366405,Tinggi,14,COMPLETE
Tegalsari,0.3657685752420412,0.755067157164163,0.6701949286378768,0.31458136636492834,0.0,,53.320597872242224,Tinggi,15,COMPLETE
Gunung Anyar,0.05049126637554585,0.9661139601683775,0.778139749233975,0.2999357301490571,0.0,,52.05966638397834,Tinggi,16,COMPLETE
Jambangan,0.23824528209173668,0.8954096455785449,0.7859050165510447,0.11557884539152101,0.0,,52.03932506895976,Tinggi,17,COMPLETE
Bulak,0.06438286789961174,0.9404652950708663,0.8095217904222161,0.26975677606494536,0.0,,51.731016218857576,Tinggi,18,COMPLETE
Wiyung,0.43850309196980464,0.4807194666780373,0.615123626293121,0.5156932267910367,0.0,,50.19301382111841,Tinggi,19,COMPLETE
Benowo,0.13137288975451783,0.7519593187003802,0.8139422246465768,0.3679134903898293,0.0,,50.13708055437507,Tinggi,20,COMPLETE
Pakal,0.1194062347051261,0.869089479849333,0.848266798957192,0.1455947216650936,0.0,,49.53210184907949,Tinggi,21,COMPLETE
Simokerto,0.3563717506916537,0.6305770787655379,0.49623067936693094,0.4330704646156655,0.0,,48.194487763367675,Tinggi,22,COMPLETE
Sukolilo,0.40470639397566877,0.45108009555220996,0.5791100509728583,0.49999379853797876,0.0,,47.255671676053105,Tinggi,23,COMPLETE
Wonokromo,0.6279854153409619,0.17208388849293763,0.6243840631366754,0.3915121082304355,0.0,,44.3200025423592,Tinggi,24,COMPLETE
Sambikerep,0.17463136154435283,0.6403585872659472,0.6496987483884391,0.3379416056512982,0.0,,44.20250554510375,Tinggi,25,COMPLETE
Gayungan,0.3670758498728221,0.3293959689057466,0.5167841925557122,0.6432905221837185,0.0,,44.09564885814567,Tinggi,26,COMPLETE
Tenggilis Mejoyo,0.18450710723035435,0.5731131236989055,0.7549401784928053,0.26952828370916404,0.0,,43.217976171917186,Tinggi,27,COMPLETE
Dukuh Pakis,0.27968972170436723,0.6793950016398046,0.59721012429095,0.09852829207749217,0.0,,42.687310027694,Tinggi,28,COMPLETE
Pabean Cantian,0.2506393601154962,0.4744635410937792,0.6976978051222728,0.15990347279397957,0.0,,38.90511259460331,Sedang,29,COMPLETE
Gubeng,0.380390265022883,0.0461987052925416,0.6053069250881806,0.5784471062483251,0.0,,36.47274973619285,Sedang,30,COMPLETE
Mulyorejo,0.21426162438687263,0.30602848298244856,0.4715037802385803,0.3512736331932913,0.0,,32.064251489717066,Sedang,31,COMPLETE
