kecamatan,jumlah_penduduk,kepadatan_penduduk,jumlah_perawat,jumlah_bidan,jumlah_tenaga_medis,total_tenaga_kesehatan,jumlah_puskesmas,jumlah_pustu,total_faskes,total_tempat_tidur,total_kunjungan,total_kasus_penyakit
Asemrowo,48.8,3245,15,24,21,88.0,1,0.0,3,0.0,42515.0,42811
Benowo,74.9,2813,395,104,178,937.0,1,0.0,17,264.0,53150.0,46660
Bubutan,96.7,24860,47,70,60,295.0,2,0.0,18,36.0,79779.0,61743
Bulak,47.8,7667,80,23,44,267.0,1,0.0,10,0.0,34306.0,25988
Dukuh Pakis,59.3,5784,252,81,336,1132.0,1,0.0,46,111.0,55207.0,24039
Gayungan,43.8,7444,523,116,388,1404.0,1,0.0,29,346.0,47364.0,37028
Genteng,58.2,14339,731,104,530,1887.0,2,0.0,38,253.0,70385.0,65970
Gubeng,132.4,16757,2738,284,1884,7087.0,2,0.0,90,675.0,108091.0,104995
Gunung Anyar,62.3,6142,40,24,63,197.0,1,0.0,24,2.0,40850.0,35390
Jambangan,54.2,13222,52,58,68,245.0,1,0.0,16,38.0,48729.0,22718
Karang Pilang,75.5,8041,26,34,68,194.0,1,0.0,17,9.0,57768.0,53895
Kenjeran,185.3,21774,47,58,57,252.0,4,0.0,22,23.0,202317.0,146591
Krembangan,114.9,13357,231,62,209,669.0,3,0.0,22,30.0,127170.0,98813
Lakarsantri,65.0,3440,40,34,77,237.0,3,0.0,30,25.0,77984.0,58965
Mulyorejo,88.2,5079,1220,181,893,3122.0,2,0.0,74,550.0,67353.0,53760
Pabean Cantian,73.9,13491,776,142,511,1931.0,1,0.0,32,460.0,62895.0,33621
Pakal,64.5,3474,150,56,118,454.0,1,0.0,9,144.0,46998.0,28599
Rungkut,123.7,5397,330,127,259,1029.0,2,0.0,62,146.0,114949.0,95826
Sambikerep,69.1,4023,373,101,412,1227.0,2,0.0,30,64.0,53769.0,41374
Sawahan,198.5,27648,266,74,271,992.0,4,0.0,44,119.0,185816.0,122544
Semampir,183.3,20254,225,77,147,652.0,4,0.0,27,100.0,166534.0,128354
Simokerto,92.1,35271,765,163,315,1678.0,2,0.0,21,2109.0,84372.0,62222
Suko Manunggal,104.2,11237,436,65,368,1178.0,2,0.0,29,220.0,94399.0,68534
Sukolilo,115.9,3845,1107,199,1040,3199.0,3,0.0,58,711.0,103941.0,84566
Tambaksari,227.0,25309,425,103,629,1554.0,3,0.0,49,288.0,155632.0,73956
Tandes,91.8,9234,118,67,74,374.0,2,0.0,27,76.0,100657.0,75525
Tegalsari,97.5,22624,419,69,480,1354.0,2,0.0,48,247.0,88715.0,56539
Tenggilis Mejoyo,58.9,10143,437,84,414,1247.0,1,0.0,24,36.0,48408.0,32012
Wiyung,76.5,6179,761,158,509,1866.0,2,0.0,31,462.0,81144.0,56788
Wonocolo,80.0,12256,474,105,338,1406.0,3,0.0,39,295.0,98841.0,71521
Wonokromo,153.6,18591,2884,414,1465,6286.0,3,0.0,59,1503.0,159194.0,98615
