kecamatan,healthcare_gap_score,priority_category,priority_rank,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,primary_root_cause,secondary_root_cause,tertiary_root_cause,root_cause_type,root_cause_confidence,root_cause_margin,workforce_issue,facility_issue,demand_issue,disease_issue,accessibility_issue,explanation,data_quality_status
Kenjeran,81.14528885799825,Kritis,1,0.7622902472986846,1.0,0.8377499974845516,0.5760790744673342,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,MULTI_FACTOR,HIGH,0.1622500025154484,Low Nakes Ratio,Low Bed Capacity,High Population Demand,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (29064 cases),NOT_AVAILABLE,"Kecamatan Kenjeran memiliki Healthcare Gap Score sebesar 81.1 dan termasuk kategori Kritis. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (1.00), 2. Facility Capacity Gap (0.84), 3. High Demand Score (0.76). Indikator paling menonjol dalam model adalah Low Nakes Ratio, dengan sub-skor 1.00. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Krembangan,73.28443928249038,Sangat Tinggi,2,0.5830457157984662,0.9031501486939921,0.7735578780319756,0.6613702893538563,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.1295922706620165,Low Nakes Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (26794 cases),NOT_AVAILABLE,"Kecamatan Krembangan memiliki Healthcare Gap Score sebesar 73.3 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.90), 2. Facility Capacity Gap (0.77), 3. Disease Burden Need (0.66). Indikator paling menonjol dalam model adalah Low Nakes Ratio, dengan sub-skor 0.90. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Semampir,72.35502748527622,Sangat Tinggi,3,0.5987618010064604,0.9577368926556884,0.819416517064218,0.46358681670637,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,MULTI_FACTOR,HIGH,0.13832037559147037,Low Nakes Ratio,Low Bed Capacity,High Population Demand,Penyakit pada sistem pernafasan (36331 cases),NOT_AVAILABLE,"Kecamatan Semampir memiliki Healthcare Gap Score sebesar 72.4 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.96), 2. Facility Capacity Gap (0.82), 3. High Demand Score (0.60). Indikator paling menonjol dalam model adalah Low Nakes Ratio, dengan sub-skor 0.96. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Sawahan,71.49342486057067,Sangat Tinggi,4,0.6640199018951047,0.9433183116446595,0.8027007502615384,0.36096317245734877,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,MULTI_FACTOR,HIGH,0.1406175613831211,Low Midwife Ratio,Low Bed Capacity,High Population Demand,Penyakit pada sistem pernafasan (25591 cases),NOT_AVAILABLE,"Kecamatan Sawahan memiliki Healthcare Gap Score sebesar 71.5 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.94), 2. Facility Capacity Gap (0.80), 3. High Demand Score (0.66). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.94. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Tandes,70.73882315934297,Sangat Tinggi,5,0.5111116470611541,0.9304780874809275,0.7593401835757493,0.6152163725782765,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.17113790390517825,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14979 cases),NOT_AVAILABLE,"Kecamatan Tandes memiliki Healthcare Gap Score sebesar 70.7 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.93), 2. Facility Capacity Gap (0.76), 3. Disease Burden Need (0.62). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.93. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Lakarsantri,69.02043676093282,Sangat Tinggi,6,0.5270239615202817,0.9500824502931929,0.5156013230053654,0.719760897321064,0.0,WORKFORCE_SHORTAGE,DISEASE_BURDEN,HIGH_DEMAND,SINGLE_FACTOR,HIGH,0.23032155297212897,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14667 cases),NOT_AVAILABLE,"Kecamatan Lakarsantri memiliki Healthcare Gap Score sebesar 69.0 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.95), 2. Disease Burden Need (0.72), 3. High Demand Score (0.53). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.95. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Asemrowo,66.44794437742077,Sangat Tinggi,7,0.19949095848681633,0.9804114036510466,0.8697754334480199,0.6827682422162238,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,MULTI_FACTOR,HIGH,0.11063597020302673,Low Nurse Ratio,Low Faskes Ratio,High Disease Burden,Penyakit pada sistem pernafasan (10733 cases),NOT_AVAILABLE,"Kecamatan Asemrowo memiliki Healthcare Gap Score sebesar 66.4 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.98), 2. Facility Capacity Gap (0.87), 3. Disease Burden Need (0.68). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.98. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Rungkut,64.32764715960026,Sangat Tinggi,8,0.4539691173187045,0.8414916178194153,0.7174616271798407,0.5557296280929925,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.12402999063957454,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (20131 cases),NOT_AVAILABLE,"Kecamatan Rungkut memiliki Healthcare Gap Score sebesar 64.3 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.84), 2. Facility Capacity Gap (0.72), 3. Disease Burden Need (0.56). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.84. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Wonocolo,63.36801937696316,Sangat Tinggi,9,0.5987991266375546,0.6924767729103898,0.5279961482718332,0.703490971254408,0.0,DISEASE_BURDEN,WORKFORCE_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.011014198344018178,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (18158 cases),NOT_AVAILABLE,"Kecamatan Wonocolo memiliki Healthcare Gap Score sebesar 63.4 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (0.70), 2. Workforce Shortage Gap (0.69), 3. High Demand Score (0.60). Indikator paling menonjol dalam model adalah High caseload of Penyakit pada sistem pernafasan, dengan sub-skor 0.70. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",COMPLETE
Karang Pilang,61.326148009607174,Sangat Tinggi,10,0.18089323978622135,0.9696552265989002,0.8600588540480141,0.48042584685466255,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,MULTI_FACTOR,HIGH,0.10959637255088617,Low Nurse Ratio,Low Puskesmas Ratio,High Disease Burden,Penyakit pada sistem pernafasan (11682 cases),NOT_AVAILABLE,"Kecamatan Karang Pilang memiliki Healthcare Gap Score sebesar 61.3 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.97), 2. Facility Capacity Gap (0.86), 3. Disease Burden Need (0.48). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.97. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
