kecamatan,jenis_faskes,penyelenggara,nama_faskes,tipe_kelas,kapasitas_tempat_tidur
Asemrowo,Puskesmas Induk,Pemerintah Kota,Puskesmas Asemrowo,,
Benowo,Rumah Sakit Umum,Pemerintah Kota,RS Umum Daerah Bhakti Dharma Husada,,207.0
Benowo,Rumah Sakit Umum,Swasta,RS Bunda,,48.0
Benowo,Puskesmas Induk,Pemerintah Kota,Puskesmas Sememi,,9.0
Bubutan,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak IBI Surabaya,,36.0
Bubutan,Puskesmas Induk,Pemerintah Kota,Puskesmas Gundih,,
Bubutan,Puskesmas Induk,Pemerintah Kota,Puskesmas Tembok Dukuh,,
Bulak,Puskesmas Induk,Pemerintah Kota,Puskesmas Kenjeran,,
Dukuh Pakis,Rumah Sakit Umum,TNI/POLRI,RS Marinir Ewa Pangalila Gunungsari,,100.0
Dukuh Pakis,Puskesmas Induk,Pemerintah Kota,Puskesmas Dukuh Kupang,,11.0
Gayungan,Rumah Sakit Khusus,Pemerintah Provinsi,RS Mata Masyarakat Jawa Timur,,40.0
Gayungan,Rumah Sakit Umum,TNI/POLRI,RS Bhayangkara TK II HS. Samsoeri Mertojoso,,205.0
Gayungan,Rumah Sakit Umum,Swasta,RS Bhakti Rahayu,,101.0
Gayungan,Puskesmas Induk,Pemerintah Kota,Puskesmas Gayungan,,
Genteng,Rumah Sakit Umum,Swasta,RS Adi Husada Undaan,,208.0
Genteng,Rumah Sakit Khusus,Swasta,RS Mata Undaan,,45.0
Genteng,Puskesmas Induk,Pemerintah Kota,Puskesmas Ketabang,,
Genteng,Puskesmas Induk,Pemerintah Kota,Puskesmas Peneleh,,
Gubeng,Rumah Sakit Khusus,Pemerintah Provinsi,RS Jiwa Menur,,312.0
Gubeng,Rumah Sakit Umum,Swasta,RS Umum Siloam Hospitals Surabaya,,202.0
Gubeng,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Pura Raharja,,60.0
Gubeng,Rumah Sakit Umum,TNI/POLRI,RS Ibu dan Anak Bantuan 05.08.05 Surabaya,,58.0
Gubeng,Rumah Sakit Khusus,Kementrian Lain,RS Gigi dan Mulut FKG Universitas Airlangga,,18.0
Gubeng,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Ferina,,25.0
Gubeng,Puskesmas Induk,Pemerintah Kota,Puskesmas Mojo,,
Gubeng,Puskesmas Induk,Pemerintah Kota,Puskesmas Pucang Sewu,,
Gunung Anyar,Puskesmas Induk,Pemerintah Kota,Puskesmas Gunung Anyar,,2.0
Jambangan,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Cempaka Putih Permata,,27.0
Jambangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Kebonsari,,11.0
Karang Pilang,Puskesmas Induk,Pemerintah Kota,Puskesmas Kedurus,,9.0
Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Bulak Banteng,,
Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Sidotopo Wetan,,10.0
Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Tambak Wedi,,
Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Tanah Kali Kedinding,,13.0
Krembangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Dupak,,15.0
Krembangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Krembangan Selatan,,15.0
Krembangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Morokrembangan,,
Lakarsantri,Rumah Sakit Khusus,Swasta,RS Orthopedi dan Traumatologi Surabaya,,25.0
Lakarsantri,Puskesmas Induk,Pemerintah Kota,Puskesmas Bangkingan,,
Lakarsantri,Puskesmas Induk,Pemerintah Kota,Puskesmas Jeruk,,
Lakarsantri,Puskesmas Induk,Pemerintah Kota,Puskesmas Lidah Kulon,,
Mulyorejo,Rumah Sakit Umum,Swasta,RS Manyar Medical Centre,,106.0
Mulyorejo,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Kendangsari Merr,,30.0
Mulyorejo,Rumah Sakit Umum,Swasta,RS Mitra Keluarga Kenjeran,,100.0
Mulyorejo,Rumah Sakit Umum,Kementrian Lain,RS Universitas Airlangga,,307.0
Mulyorejo,Puskesmas Induk,Pemerintah Kota,Puskesmas Kalijudan,,
Mulyorejo,Puskesmas Induk,Pemerintah Kota,Puskesmas Mulyorejo,,7.0
Pabean Cantian,Rumah Sakit Umum,BUMN,RS Primasatya Husada Citra (PHC) Surabaya,,226.0
Pabean Cantian,Rumah Sakit Umum,Swasta,RS PKU Muhammadiyah Surabaya,,50.0
Pabean Cantian,Rumah Sakit Umum,TNI/POLRI,RS TNI AL Dr. Oepomo,,54.0
Pabean Cantian,Rumah Sakit Umum,Swasta,RS Umum Al-Irsyad Surabaya,,130.0
Pabean Cantian,Puskesmas Induk,Pemerintah Kota,Puskesmas Perak Timur,,
Pakal,Rumah Sakit Umum,Swasta,RS Islam Darus Syifa,,144.0
Pakal,Puskesmas Induk,Pemerintah Kota,Puskesmas Benowo,,
Rungkut,Rumah Sakit Umum,Swasta,RS Umum Royal Surabaya,,134.0
Rungkut,Puskesmas Induk,Pemerintah Kota,Puskesmas Kalirungkut,,
Rungkut,Puskesmas Induk,Pemerintah Kota,Puskesmas Medokan Ayu,,12.0
Sambikerep,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Nur Ummi Numbi,,35.0
Sambikerep,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Lombok Dua Dua Lontar,,29.0
Sambikerep,Puskesmas Induk,Pemerintah Kota,Puskesmas Lontar,,
Sambikerep,Puskesmas Induk,Pemerintah Kota,Puskesmas Made,,
Sawahan,Rumah Sakit Umum,Swasta,Mayapada Hospital Surabaya,,105.0
Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Banyu Urip,,9.0
Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Pakis,,5.0
Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Putat Jaya,,
Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Sawahan,,
Semampir,Rumah Sakit Umum,Pemerintah Provinsi,RS Husada Prima,,100.0
Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Pegirian,,
Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Sawah Pulo,,
Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Sidotopo,,
Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Wonokusumo,,
Simokerto,Rumah Sakit Umum,Pemerintah Kota,RS Umum Daerah dr. Mohamad Soewandhie,,334.0
Simokerto,Rumah Sakit Umum,Swasta,RS Umum Adi Husada Kapasari,,103.0
Simokerto,Rumah Sakit Umum,Pemerintah Provinsi,RS Umum Daerah Dr. Soetomo,,1672.0
Simokerto,Puskesmas Induk,Pemerintah Kota,Puskesmas Simolawang,,
Simokerto,Puskesmas Induk,Pemerintah Kota,Puskesmas Tambakrejo,,
Sukolilo,Rumah Sakit Khusus,Swasta,RS Onkologi,,25.0
Sukolilo,Rumah Sakit Umum,Swasta,RS Premier Surabaya,,201.0
Sukolilo,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Putri Surabaya,,50.0
Sukolilo,Rumah Sakit Umum,Pemerintah Provinsi,RS Umum Haji Surabaya,,298.0
Sukolilo,Rumah Sakit Umum,Swasta,RS Gotong Royong,,131.0
Sukolilo,Puskesmas Induk,Pemerintah Kota,Puskesmas Keputih,,6.0
Sukolilo,Puskesmas Induk,Pemerintah Kota,Puskesmas Klampis Ngasem,,
Sukolilo,Puskesmas Induk,Pemerintah Kota,Puskesmas Menur,,
Suko Manunggal,Rumah Sakit Umum,Swasta,RS Umum Mitra Keluarga Surabaya,,202.0
Suko Manunggal,Puskesmas Induk,Pemerintah Kota,Puskesmas Simomulyo,,10.0
Suko Manunggal,Puskesmas Induk,Pemerintah Kota,Puskesmas Tanjungsari,,8.0
Tambaksari,Rumah Sakit Umum,Swasta,RS Husada Utama Surabaya,,288.0
Tambaksari,Puskesmas Induk,Pemerintah Kota,Puskesmas Gading,,
Tambaksari,Puskesmas Induk,Pemerintah Kota,Puskesmas Pacar Keling,,
Tambaksari,Puskesmas Induk,Pemerintah Kota,Puskesmas Rangkah,,
