kecamatan,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,workforce_demand_mismatch,healthcare_gap_score,priority_category,priority_rank,data_completeness_score,data_quality_status,primary_root_cause,secondary_root_cause,root_cause_type,root_cause_confidence,root_cause_margin,workforce_issue,facility_issue,demand_issue,disease_issue,explanation,centroid_lon,centroid_lat
Asemrowo,0.3616939818123988,0.9805380576135286,0.8337305201376239,0.6827682422162238,,,70.59693642985478,Sangat Tinggi,5,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,MULTI_FACTOR,HIGH,0.1468075374759047,Low Nurse Ratio,Low Faskes Ratio,High Disease Burden,Penyakit pada sistem pernafasan (10733 cases),"Kecamatan Asemrowo memiliki Healthcare Gap Score sebesar 70.6 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.98), 2. Facility Capacity Gap (0.83), 3. Disease Burden Need (0.68). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.98. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.59999999999998,-7.3358333333333325
Benowo,0.1984963763878119,0.7259070149390171,0.804129233538838,0.3679134903898293,,,51.17295621837822,Tinggi,19,0.75,COMPLETE,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,SINGLE_FACTOR,MEDIUM,0.0782222185998209,Low Nakes Ratio,Low Puskesmas Ratio,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (15690 cases),"Kecamatan Benowo memiliki Healthcare Gap Score sebesar 51.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.80), 2. Workforce Shortage Gap (0.73), 3. Disease Burden Need (0.37). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.80. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",112.64,-7.3358333333333325
Bubutan,0.3195792400261503,0.9479907193158468,0.7806404214826268,0.3871488687893865,,,61.38288458570018,Sangat Tinggi,12,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,SINGLE_FACTOR,HIGH,0.1673502978332199,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (14858 cases),"Kecamatan Bubutan memiliki Healthcare Gap Score sebesar 61.4 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.95), 2. Facility Capacity Gap (0.78), 3. Disease Burden Need (0.39). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.95. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.67999999999998,-7.3358333333333325
Bulak,0.1302499210256358,0.925672549544728,0.7728261105489442,0.2697567760649453,,,52.529331849388704,Tinggi,17,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,SINGLE_FACTOR,HIGH,0.1528464389957837,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (5902 cases),"Kecamatan Bulak memiliki Healthcare Gap Score sebesar 52.5 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.93), 2. Facility Capacity Gap (0.77), 3. Disease Burden Need (0.27). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.93. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.71999999999997,-7.3358333333333325
Dukuh Pakis,0.2448495662967851,0.6974097014855809,0.5748474467311876,0.0985282920774921,,,41.73529280964458,Tinggi,27,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.1225622547543933,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pencernaan (6492 cases),"Kecamatan Dukuh Pakis memiliki Healthcare Gap Score sebesar 41.7 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.70), 2. Facility Capacity Gap (0.57), 3. High Demand Score (0.24). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.70. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.75999999999999,-7.3358333333333325
Gayungan,0.4866478365533732,0.3397172272189605,0.5116855874484286,0.6432905221837185,,,47.89047410581296,Tinggi,24,0.75,COMPLETE,DISEASE_BURDEN,FACILITY_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.1316049347352899,Low Nurse Ratio,Low Puskesmas Ratio,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (10213 cases),"Kecamatan Gayungan memiliki Healthcare Gap Score sebesar 47.9 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (0.64), 2. Facility Capacity Gap (0.51), 3. High Demand Score (0.49). Indikator paling menonjol dalam model adalah High caseload of Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan, dengan sub-skor 0.64. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",112.80000000000001,-7.3358333333333325
Genteng,0.7055417411935954,0.3970864420105185,0.441209835645959,1.0,,,61.9030422090426,Sangat Tinggi,11,0.75,COMPLETE,DISEASE_BURDEN,HIGH_DEMAND,SINGLE_FACTOR,HIGH,0.2944582588064046,Low Nakes Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (16565 cases),"Kecamatan Genteng memiliki Healthcare Gap Score sebesar 61.9 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (1.00), 2. High Demand Score (0.71), 3. Facility Capacity Gap (0.44). Indikator paling menonjol dalam model adalah High caseload of Penyakit pada sistem pernafasan, dengan sub-skor 1.00. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",112.59999999999998,-7.307500000000001
Gubeng,0.4294838984779567,0.0461987052925416,0.5997018544604072,0.5784471062483251,,,37.8334573272896,Sedang,30,0.75,COMPLETE,FACILITY_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.0212547482120821,Low Midwife Ratio,Low Puskesmas Ratio,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (29273 cases),"Kecamatan Gubeng memiliki Healthcare Gap Score sebesar 37.8 dan termasuk kategori Sedang. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.60), 2. Disease Burden Need (0.58), 3. High Demand Score (0.43). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.60. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",112.64,-7.307499999999999
Gunung Anyar,0.1202754788700446,0.9725118716872212,0.7489756330372022,0.2999357301490571,,,53.76184778044315,Tinggi,14,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,SINGLE_FACTOR,HIGH,0.223536238650019,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (7543 cases),"Kecamatan Gunung Anyar memiliki Healthcare Gap Score sebesar 53.8 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.97), 2. Facility Capacity Gap (0.75), 3. Disease Burden Need (0.30). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.97. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.67999999999998,-7.307499999999999
Jambangan,0.2195930233956491,0.8983861144825754,0.7560210222656565,0.115578845391521,,,50.971371489490295,Tinggi,20,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,SINGLE_FACTOR,HIGH,0.1423650922169189,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pencernaan (5315 cases),"Kecamatan Jambangan memiliki Healthcare Gap Score sebesar 51.0 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.90), 2. Facility Capacity Gap (0.76), 3. High Demand Score (0.22). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.90. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.71999999999997,-7.307499999999999
