kecamatan,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,workforce_demand_mismatch,healthcare_gap_score,priority_category,priority_rank,data_completeness_score,data_quality_status
Asemrowo,0.3616939818123988,0.9805380576135286,0.8337305201376239,0.6827682422162238,,,70.59693642985478,Sangat Tinggi,5,0.75,COMPLETE
Benowo,0.19849637638781195,0.7259070149390171,0.804129233538838,0.3679134903898293,,,51.17295621837822,Tinggi,19,0.75,COMPLETE
Bubutan,0.31957924002615035,0.9479907193158468,0.7806404214826268,0.3871488687893865,,,61.38288458570018,Sangat Tinggi,12,0.75,COMPLETE
Bulak,0.13024992102563587,0.9256725495447281,0.7728261105489442,0.26975677606494536,,,52.529331849388704,Tinggi,17,0.75,COMPLETE
Dukuh Pakis,0.24484956629678514,0.6974097014855809,0.5748474467311876,0.09852829207749217,,,41.73529280964458,Tinggi,27,0.75,COMPLETE
Gayungan,0.4866478365533732,0.3397172272189605,0.5116855874484286,0.6432905221837185,,,47.890474105812956,Tinggi,24,0.75,COMPLETE
Genteng,0.7055417411935954,0.39708644201051857,0.44120983564595906,1.0,,,61.9030422090426,Sangat Tinggi,11,0.75,COMPLETE
Gubeng,0.4294838984779567,0.0461987052925416,0.5997018544604072,0.5784471062483251,,,37.833457327289594,Sedang,30,0.75,COMPLETE
Gunung Anyar,0.12027547887004464,0.9725118716872212,0.7489756330372022,0.2999357301490571,,,53.76184778044315,Tinggi,14,0.75,COMPLETE
Jambangan,0.21959302339564915,0.8983861144825754,0.7560210222656565,0.11557884539152101,,,50.971371489490295,Tinggi,20,0.75,COMPLETE
Karang Pilang,0.27153885243559417,0.977419901946647,0.8355351370387234,0.48042584685466255,,,63.78798230933494,Sangat Tinggi,10,0.75,COMPLETE
Kenjeran,0.7054179289127723,1.0,0.8005851986609287,0.5760790744673342,,,78.69582332994842,Sangat Tinggi,1,0.75,COMPLETE
Krembangan,0.6260376157768076,0.9123570471641191,0.7301252427337974,0.6613702893538563,,,73.98175052998087,Sangat Tinggi,2,0.75,COMPLETE
Lakarsantri,0.6259753860107978,0.9577504036713155,0.44228093784287503,0.719760897321064,,,70.75261039374217,Sangat Tinggi,4,0.75,COMPLETE
Mulyorejo,0.25255558160722347,0.3271060440098267,0.4593754971504902,0.3512736331932913,,,33.60283137538714,Sedang,31,0.75,COMPLETE
Pabean Cantian,0.232052398926224,0.4743693961989962,0.6994011469197041,0.15990347279397957,,,38.37874624803028,Sedang,29,0.75,COMPLETE
Pakal,0.12790427762607437,0.8692714074358051,0.8295431580489553,0.1455947216650936,,,49.41802814613736,Tinggi,21,0.75,COMPLETE
Rungkut,0.4862806451649574,0.8394551025857299,0.6931342978696959,0.5557296280929925,,,64.74935095177437,Sangat Tinggi,8,0.75,COMPLETE
Sambikerep,0.22727752726274947,0.6771026935285294,0.6048687210455691,0.3379416056512982,,,45.98761315767571,Tinggi,25,0.75,COMPLETE
Sawahan,0.5550616418122404,0.9458143601900086,0.7697909742224445,0.36096317245734877,,,67.64136299366334,Sangat Tinggi,7,0.75,COMPLETE
Semampir,0.5419391976074723,0.9550942152766315,0.7837345651365691,0.46358681670637,,,69.8574300233819,Sangat Tinggi,6,0.75,COMPLETE
Simokerto,0.38865391111706193,0.5907346538604668,0.5583281490165782,0.4330704646156655,,,49.20962922197074,Tinggi,23,0.75,COMPLETE
Suko Manunggal,0.3948261301754178,0.8206792058814871,0.743448384353803,0.4109389249100609,,,59.55290626698443,Tinggi,13,0.75,COMPLETE
Sukolilo,0.4344073595454221,0.49884709624061807,0.5616689635175418,0.49999379853797876,,,49.23088891469161,Tinggi,22,0.75,COMPLETE
Tambaksari,0.3206309445288489,0.9144242951942263,0.8293517964248839,0.0,,,53.63869312018994,Tinggi,16,0.75,COMPLETE
Tandes,0.5672533560599609,0.9239895873950563,0.7249453069755956,0.6152163725782765,,,71.54052189472796,Sangat Tinggi,3,0.75,COMPLETE
Tegalsari,0.35767704302887576,0.7916221662310087,0.6451811741426409,0.31458136636492834,,,53.67422708794791,Tinggi,15,0.75,COMPLETE
Tenggilis Mejoyo,0.2202218128184301,0.6143170957596045,0.726898474520542,0.26952828370916404,,,44.96470242193516,Tinggi,26,0.75,COMPLETE
Wiyung,0.4876610966349888,0.48644639158442865,0.596872218902089,0.5156932267910367,,,51.47453356044503,Tinggi,18,0.75,COMPLETE
Wonocolo,0.6703267673588551,0.680698068342088,0.48223602960053036,0.703490971254408,,,64.24528508812706,Sangat Tinggi,9,0.75,COMPLETE
Wonokromo,0.5599074669253065,0.13391320931204065,0.6325290370808315,0.3915121082304355,,,41.295443193345754,Tinggi,28,0.75,COMPLETE
