kecamatan,jumlah_penduduk,kepadatan_penduduk,jumlah_perawat,jumlah_bidan,jumlah_tenaga_medis,total_tenaga_kesehatan,jumlah_puskesmas,jumlah_pustu,total_faskes,total_kunjungan,service_pressure,total_kasus_penyakit,disease_burden,total_tempat_tidur,bed_ratio,workforce_ratio,facility_ratio,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,healthcare_gap_score,priority_category
Asemrowo,48.8,3245,15,24,21,88.0,1,0.0,3,42515.0,871.2090163934427,42811,877.2745901639345,0.0,0.0,1.8032786885245902,6.147540983606558,0.027292576419213975,0.9915019096860878,1.0,0.6827682422162238,0.0,61.465041377518894,Sangat Tinggi
Benowo,74.9,2813,395,104,178,937.0,1,0.0,17,53150.0,709.6128170894525,46660,622.9639519359145,264.0,3.5246995994659542,12.510013351134846,22.696929238985312,0.16975982532751097,0.7862632197434947,0.7871534842727812,0.3679134903898293,0.0,44.081519478302816,Tinggi
Bubutan,96.7,24860,47,70,60,295.0,2,0.0,18,79779.0,825.0155118924508,61743,638.5005170630817,36.0,0.37228541882109617,3.050672182006205,18.61427094105481,0.2887554585152839,0.9675904731452044,0.8396617450138932,0.3871488687893865,0.0,55.503528001012825,Tinggi
Bulak,47.8,7667,80,23,44,267.0,1,0.0,10,34306.0,717.6987447698746,25988,543.6820083682009,0.0,0.0,5.585774058577406,20.92050209205021,0.02183406113537118,0.9189947990751761,0.8100006326285817,0.26975677606494536,0.0,42.55035887135854,Tinggi
Dukuh Pakis,59.3,5784,252,81,336,1132.0,1,0.0,46,55207.0,930.9780775716695,24039,405.37942664418216,111.0,1.8718381112984823,19.0893760539629,77.57166947723441,0.08460698689956332,0.6601426214156771,0.08139342348313727,0.09852829207749217,0.0,27.98887560770082,Sedang
Gayungan,43.8,7444,523,116,388,1404.0,1,0.0,29,47364.0,1081.3698630136987,37028,845.3881278538813,346.0,7.899543378995435,32.05479452054795,66.21004566210046,0.0,0.41160694882335025,0.2275185856182803,0.6432905221837185,0.0,40.33135512741987,Tinggi
Genteng,58.2,14339,731,104,530,1887.0,2,0.0,38,70385.0,1209.364261168385,65970,1133.505154639175,253.0,4.347079037800687,32.42268041237113,65.29209621993127,0.07860262008733628,0.40455489972851033,0.23932460148813905,1.0,0.0,53.54769018444945,Tinggi
Gubeng,132.4,16757,2738,284,1884,7087.0,2,0.0,90,108091.0,816.3972809667673,104995,793.0135951661631,675.0,5.098187311178248,53.527190332326285,67.97583081570997,0.4836244541484717,0.0,0.20480830704671538,0.5784471062483251,0.0,30.880718866816125,Sedang
Gunung Anyar,62.3,6142,40,24,63,197.0,1,0.0,24,40850.0,655.6982343499197,35390,568.0577849117175,2.0,0.03210272873194222,3.1621187800963084,38.52327447833066,0.1009825327510917,0.9654541398455245,0.5836062359449838,0.2999357301490571,0.0,38.99957277381315,Sedang
Jambangan,54.2,13222,52,58,68,245.0,1,0.0,16,48729.0,899.0590405904059,22718,419.1512915129151,38.0,0.7011070110701106,4.520295202952029,29.520295202952028,0.0567685589519651,0.9394190919507384,0.6993961817942449,0.11557884539152101,0.0,44.61769366639955,Tinggi
Karang Pilang,75.5,8041,26,34,68,194.0,1,0.0,17,57768.0,765.1390728476821,53895,713.841059602649,9.0,0.11920529801324503,2.5695364238410594,22.516556291390728,0.17303493449781662,0.9768134226066489,0.7894733134310873,0.48042584685466255,0.0,52.169981249296825,Tinggi
Kenjeran,185.3,21774,47,58,57,252.0,4,0.0,22,202317.0,1091.834862385321,146591,791.1009174311926,23.0,0.12412304371289799,1.359956826767404,11.872638963842418,0.7723799126637555,1.0,0.9263678428177494,0.5760790744673342,0.0,80.54054823764906,Kritis
Krembangan,114.9,13357,231,62,209,669.0,3,0.0,22,127170.0,1106.7885117493472,98813,859.9912967798085,30.0,0.2610966057441253,5.822454308093994,19.147084421235856,0.3881004366812228,0.9144578467851651,0.8328090752330528,0.6613702893538563,0.0,71.49457285938013,Sangat Tinggi
Lakarsantri,65.0,3440,40,34,77,237.0,3,0.0,30,77984.0,1199.753846153846,58965,907.1538461538462,25.0,0.38461538461538464,3.646153846153846,46.15384615384615,0.11572052401746727,0.9561756132009027,0.48546722505964723,0.719760897321064,0.0,64.30903317244355,Sangat Tinggi
