timestamp,dataset,row_identifier,column,original_value,new_value,action,reason
2026-08-13 08:39:32,tenaga kesehatan,Karang Pilang,jumlah_tenaga_kesehatan_psikologi_klinis,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Jambangan,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Gayungan,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Wonocolo,jumlah_tenaga_kesehatan_psikologi_klinis,4,4.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Tenggilis Mejoyo,jumlah_tenaga_kesehatan_psikologi_klinis,1,1.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Gunung Anyar,jumlah_tenaga_kesehatan_psikologi_klinis,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Rungkut,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Sukolilo,jumlah_tenaga_kesehatan_psikologi_klinis,11,11.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Mulyorejo,jumlah_tenaga_kesehatan_psikologi_klinis,6,6.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Gubeng,jumlah_tenaga_kesehatan_psikologi_klinis,18,18.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Wonokromo,jumlah_tenaga_kesehatan_psikologi_klinis,5,5.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Dukuh Pakis,jumlah_tenaga_kesehatan_psikologi_klinis,1,1.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Wiyung,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Lakarsantri,jumlah_tenaga_kesehatan_psikologi_klinis,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Sambikerep,jumlah_tenaga_kesehatan_psikologi_klinis,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Tandes,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Suko Manunggal,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Sawahan,jumlah_tenaga_kesehatan_psikologi_klinis,3,3.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Tegalsari,jumlah_tenaga_kesehatan_psikologi_klinis,4,4.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Genteng,jumlah_tenaga_kesehatan_psikologi_klinis,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Tambaksari,jumlah_tenaga_kesehatan_psikologi_klinis,4,4.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Kenjeran,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Bulak,jumlah_tenaga_kesehatan_psikologi_klinis,1,1.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Simokerto,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Semampir,jumlah_tenaga_kesehatan_psikologi_klinis,3,3.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Pabean Cantian,jumlah_tenaga_kesehatan_psikologi_klinis,1,1.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Bubutan,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Krembangan,jumlah_tenaga_kesehatan_psikologi_klinis,1,1.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Asemrowo,jumlah_tenaga_kesehatan_psikologi_klinis,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Benowo,jumlah_tenaga_kesehatan_psikologi_klinis,2,2.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Pakal,jumlah_tenaga_kesehatan_psikologi_klinis,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Karang Pilang,jumlah_tenaga_keterapian_fisik,1,1.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Jambangan,jumlah_tenaga_keterapian_fisik,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Gayungan,jumlah_tenaga_keterapian_fisik,6,6.0,type coercion,coercing to numeric and handling dash values
