nilai_asli,nilai_standar,alasan,sumber
Asem Rowo,Asemrowo,standardization of capitalization and spacing,raw data sheets
Sukomanunggal,Suko Manunggal,standardization of capitalization and spacing,raw data sheets
Tenggilis,Tenggilis Mejoyo,standardization of capitalization and spacing,raw data sheets
SEMAMPIR,Semampir,standardization of capitalization and spacing,raw data sheets
SUKOLILO,Sukolilo,standardization of capitalization and spacing,raw data sheets
WONOCOLO,Wonocolo,standardization of capitalization and spacing,raw data sheets
pakal,Pakal,standardization of capitalization and spacing,raw data sheets
sukolilo,Sukolilo,standardization of capitalization and spacing,raw data sheets
Darmo,NaN,invalid kecamatan (is a kelurahan),faskes
nan,NaN,missing kecamatan,faskes
