nama_asli,nama_standar,puskesmas_id,kecamatan,status
Asemrowo,Asemrowo,PKM001,Asemrowo,mapped
Balas Klumprik,Balas Klumprik,PKM054,Wiyung,mapped
Balongsari,Balongsari,PKM002,Tandes,mapped
Bangkingan,Bangkingan,PKM057,Lakarsantri,mapped
Banyu Urip,Banyu Urip,PKM003,Sawahan,mapped
Benowo,Benowo,PKM004,Pakal,mapped
Bulak Banteng,Bulak Banteng,PKM061,Kenjeran,mapped
Dr. Soetomo,Dr. Soetomo,PKM005,Tegalsari,mapped
Dukuh Kupang,Dukuh Kupang,PKM006,Dukuh Pakis,mapped
Dupak,Dupak,PKM007,Krembangan,mapped
Gading,Gading,PKM008,Tambaksari,mapped
Gayungan,Gayungan,PKM009,Gayungan,mapped
Gundih,Gundih,PKM010,Bubutan,mapped
Gunung Anyar,Gunung Anyar,PKM011,Gunung Anyar,mapped
Jagir,Jagir,PKM012,Wonokromo,mapped
Jemursari,Jemursari,PKM013,Wonocolo,mapped
Jeruk,Jeruk,PKM014,Lakarsantri,mapped
Kalijudan,Kalijudan,PKM062,Mulyorejo,mapped
Kalirungkut,Kalirungkut,PKM015,Rungkut,mapped
Kebonsari,Kebonsari,PKM016,Jambangan,mapped
Kedungdoro,Kedungdoro,PKM017,Tegalsari,mapped
Kedurus,Kedurus,PKM018,Karang Pilang,mapped
Kenjeran,Kenjeran,PKM019,Bulak,mapped
Keputih,Keputih,PKM058,Sukolilo,mapped
Ketabang,Ketabang,PKM020,Genteng,mapped
Klampis Ngasem,Klampis Ngasem,PKM021,Sukolilo,mapped
Krembangan Selatan,Krembangan Selatan,PKM022,Krembangan,mapped
Lidah Kulon,Lidah Kulon,PKM023,Lakarsantri,mapped
Lontar,Lontar,PKM024,Sambikerep,mapped
Made,Made,PKM056,Sambikerep,mapped
Manukan Kulon,Manukan Kulon,PKM025,Tandes,mapped
Medokan Ayu,Medokan Ayu,PKM026,Rungkut,mapped
Menur,Menur,PKM027,Sukolilo,mapped
Mojo,Mojo,PKM028,Gubeng,mapped
Moro Krembangan,Morokrembangan,PKM059,Krembangan,mapped
Mulyorejo,Mulyorejo,PKM029,Mulyorejo,mapped
Ngagel Rejo,Ngagel Rejo,PKM030,Wonokromo,mapped
Pacarkeling,Pacarkeling,PKM031,Tambaksari,mapped
Pakis,Pakis,PKM032,Sawahan,mapped
Pegirian,Pegirian,PKM033,Semampir,mapped
Peneleh,Peneleh,PKM034,Genteng,mapped
Perak Timur,Perak Timur,PKM035,Pabean Cantian,mapped
Pucangsewu,Pucangsewu,PKM036,Gubeng,mapped
Putat Jaya,Putat Jaya,PKM037,Sawahan,mapped
Rangkah,Rangkah,PKM038,Tambaksari,mapped
Sawahan,Sawahan,PKM039,Sawahan,mapped
Sawah Pulo,Sawah Pulo,PKM063,Semampir,mapped
Sememi,Sememi,PKM040,Benowo,mapped
Sidosermo,Sidosermo,PKM041,Wonocolo,mapped
Sidotopo,Sidotopo,PKM042,Semampir,mapped
Sidotopo Wetan,Sidotopo Wetan,PKM043,Kenjeran,mapped
Simolawang,Simolawang,PKM044,Simokerto,mapped
Simomulyo,Simomulyo,PKM045,Suko Manunggal,mapped
Siwalankerto,Siwalankerto,PKM055,Wonocolo,mapped
Tambakrejo,Tambakrejo,PKM046,Simokerto,mapped
Tambak Wedi,Tambak Wedi,PKM060,Kenjeran,mapped
Tanah Kali Kedinding,Tanah Kali Kedinding,PKM047,Kenjeran,mapped
Tanjungsari,Tanjungsari,PKM048,Suko Manunggal,mapped
Tembok Dukuh,Tembok Dukuh,PKM049,Bubutan,mapped
Tenggilis,Tenggilis,PKM050,Tenggilis Mejoyo,mapped
Wiyung,Wiyung,PKM051,Wiyung,mapped
Wonokromo,Wonokromo,PKM052,Wonokromo,mapped
Wonokusumo,Wonokusumo,PKM053,Semampir,mapped
