kecamatan,Scenario_A_Balanced,Scenario_B_Redistributed,Scenario_C_DemandFocus,Scenario_D_CapacityFocus,rank_variance,rank_stability
Asemrowo,5,4,9,2,8.666666666666666,Low
Benowo,19,19,21,19,1.0,High
Bubutan,12,11,13,9,2.9166666666666665,Medium
Bulak,17,17,24,15,15.583333333333334,Low
Dukuh Pakis,27,27,29,26,1.5833333333333333,Medium
Gayungan,24,24,15,27,27.0,Low
Genteng,11,13,5,20,38.25,Low
Gubeng,30,30,25,31,7.333333333333333,Low
Gunung Anyar,14,15,22,12,18.916666666666668,Low
Jambangan,20,18,23,16,8.916666666666666,Low
Karang Pilang,10,9,11,8,1.6666666666666667,Medium
Kenjeran,1,1,1,1,0.0,High
Krembangan,2,2,2,3,0.25,High
Lakarsantri,4,6,3,6,2.25,Medium
Mulyorejo,31,31,31,30,0.25,High
Pabean Cantian,29,29,30,28,0.6666666666666666,High
Pakal,21,21,27,17,17.0,Low
Rungkut,8,8,10,10,1.3333333333333333,Medium
Sambikerep,25,25,26,21,4.916666666666667,Low
Sawahan,7,7,8,7,0.25,High
Semampir,6,5,7,5,0.9166666666666666,High
Simokerto,23,22,18,22,4.916666666666667,Low
Suko Manunggal,13,12,12,11,0.6666666666666666,High
Sukolilo,22,23,16,25,15.0,Low
Tambaksari,16,14,20,14,8.0,Low
Tandes,3,3,4,4,0.3333333333333333,High
Tegalsari,15,16,17,18,1.6666666666666667,Medium
Tenggilis Mejoyo,26,26,28,24,2.6666666666666665,Medium
Wiyung,18,20,14,23,14.25,Low
Wonocolo,9,10,6,13,8.333333333333334,Low
Wonokromo,28,28,19,29,22.0,Low
