,jumlah_penduduk,total_kunjungan,total_tenaga_kesehatan,total_faskes,total_tempat_tidur,total_kasus_penyakit,visits_per_1000,nakes_per_1000,faskes_per_100k,beds_per_1000,disease_per_1000
jumlah_penduduk,1.0,0.9345124347523845,0.25194454684362444,0.39241611964442796,0.14721905399323487,0.8294271511525113,0.0013740025733632625,-0.07008517552465246,-0.2728205555415445,-0.039119523220903195,-0.11005371500309338
total_kunjungan,0.9345124347523845,1.0,0.2336320407996111,0.3505154682722066,0.15884158088115938,0.9318885864615055,0.3158565159985506,-0.05623504858458401,-0.24299959909426364,-0.011621897361557918,0.1263309670349034
total_tenaga_kesehatan,0.25194454684362444,0.2336320407996111,1.0,0.7842054286777637,0.6139323842711025,0.2693533897042033,0.027614591696421102,0.8852696910071058,0.4913259492378355,0.4595548298582862,0.06098419291792856
total_faskes,0.39241611964442796,0.3505154682722066,0.7842054286777637,1.0,0.3331145579098258,0.3691983290646706,0.06117960108779945,0.6921240287636414,0.7002072911387939,0.2117839729040905,0.04164299177147779
total_tempat_tidur,0.14721905399323487,0.15884158088115938,0.6139323842711025,0.3331145579098258,1.0,0.13257961846769162,0.07421467354003781,0.5503623812589202,0.1503936965973271,0.9451930487264852,0.004962117154052637
total_kasus_penyakit,0.8294271511525113,0.9318885864615055,0.2693533897042033,0.3691983290646706,0.13257961846769162,1.0,0.35762525906440923,0.0022253996323797665,-0.19743825636540865,-0.01637959173982562,0.38040895328433183
visits_per_1000,0.0013740025733632625,0.3158565159985506,0.027614591696421102,0.06117960108779945,0.07421467354003781,0.35762525906440923,1.0,0.11663370682111703,0.19193192475561424,0.12207924585244799,0.7116210738720284
nakes_per_1000,-0.07008517552465246,-0.05623504858458401,0.8852696910071058,0.6921240287636414,0.5503623812589202,0.0022253996323797665,0.11663370682111703,1.0,0.7225409635927373,0.53400147354015,0.14375673203897
faskes_per_100k,-0.2728205555415445,-0.24299959909426364,0.4913259492378355,0.7002072911387939,0.1503936965973271,-0.19743825636540865,0.19193192475561424,0.7225409635927373,1.0,0.21918164872656748,0.12578715047735975
beds_per_1000,-0.039119523220903195,-0.011621897361557918,0.4595548298582862,0.2117839729040905,0.9451930487264852,-0.01637959173982562,0.12207924585244799,0.53400147354015,0.21918164872656748,1.0,0.06232627573195097
disease_per_1000,-0.11005371500309338,0.1263309670349034,0.06098419291792856,0.04164299177147779,0.004962117154052637,0.38040895328433183,0.7116210738720284,0.14375673203897,0.12578715047735975,0.06232627573195097,1.0
