kecamatan,total_kasus_penyakit,disease_per_1000,rank_total_kasus,rank_disease_ratio
Asemrowo,42811,877.2745901639345,22,4
Benowo,46660,622.9639519359145,21,19
Bubutan,61743,638.5005170630817,15,18
Bulak,25988,543.6820083682009,29,25
Dukuh Pakis,24039,405.37942664418216,30,30
Gayungan,37028,845.3881278538813,24,6
Genteng,65970,1133.505154639175,13,1
Gubeng,104995,793.0135951661631,4,8
Gunung Anyar,35390,568.0577849117175,25,24
Jambangan,22718,419.1512915129151,31,29
Karang Pilang,53895,713.841059602649,19,13
Kenjeran,146591,791.1009174311926,1,9
Krembangan,98813,859.9912967798085,5,5
Lakarsantri,58965,907.1538461538462,16,2
Mulyorejo,53760,609.5238095238095,20,21
Pabean Cantian,33621,454.9526387009472,26,27
Pakal,28599,443.3953488372093,28,28
Rungkut,95826,774.6645109135004,7,10
Sambikerep,41374,598.7554269175109,23,22
Sawahan,122544,617.3501259445844,3,20
Semampir,128354,700.2400436442989,2,14
Simokerto,62222,675.5917480998914,14,15
Suko Manunggal,68534,657.7159309021113,12,16
Sukolilo,84566,729.646246764452,8,12
Tambaksari,73956,325.7973568281938,10,31
Tandes,75525,822.7124183006537,9,7
Tegalsari,56539,579.8871794871795,18,23
Tenggilis Mejoyo,32012,543.4974533106961,27,26
Wiyung,56788,742.3267973856209,17,11
Wonocolo,71521,894.0125,11,3
Wonokromo,98615,642.0247395833334,6,17
