kecamatan,jumlah_puskesmas,jumlah_pustu,total_faskes,faskes_per_100k,puskesmas_per_100k,rank_total_faskes,rank_faskes_ratio
Asemrowo,1,0.0,3,6.147540983606558,2.0491803278688527,31,31
Benowo,1,0.0,17,22.696929238985312,1.3351134846461947,26,21
Bubutan,2,0.0,18,18.61427094105481,2.0682523267838677,25,27
Bulak,1,0.0,10,20.92050209205021,2.0920502092050213,29,25
Dukuh Pakis,1,0.0,46,77.57166947723441,1.6863406408094435,8,2
Gayungan,1,0.0,29,66.21004566210046,2.2831050228310503,16,4
Genteng,2,0.0,38,65.29209621993127,3.4364261168384878,11,5
Gubeng,2,0.0,90,67.97583081570997,1.510574018126888,1,3
Gunung Anyar,1,0.0,24,38.52327447833066,1.605136436597111,20,15
Jambangan,1,0.0,16,29.520295202952028,1.8450184501845017,28,17
Karang Pilang,1,0.0,17,22.516556291390728,1.3245033112582782,26,22
Kenjeran,4,0.0,22,11.872638963842418,2.1586616297895307,22,30
Krembangan,3,0.0,22,19.147084421235856,2.610966057441253,22,26
Lakarsantri,3,0.0,30,46.15384615384615,4.615384615384616,14,10
Mulyorejo,2,0.0,74,83.90022675736961,2.2675736961451247,2,1
Pabean Cantian,1,0.0,32,43.301759133964815,1.3531799729364005,12,12
Pakal,1,0.0,9,13.953488372093023,1.550387596899225,30,29
Rungkut,2,0.0,62,50.121261115602266,1.6168148746968474,3,6
Sambikerep,2,0.0,30,43.41534008683068,2.8943560057887123,14,11
Sawahan,4,0.0,44,22.16624685138539,2.0151133501259446,9,23
Semampir,4,0.0,27,14.729950900163663,2.182214948172395,18,28
Simokerto,2,0.0,21,22.80130293159609,2.1715526601520088,24,20
Suko Manunggal,2,0.0,29,27.83109404990403,1.9193857965451053,16,19
Sukolilo,3,0.0,58,50.04314063848144,2.5884383088869716,5,7
Tambaksari,3,0.0,49,21.58590308370044,1.3215859030837005,6,24
Tandes,2,0.0,27,29.411764705882355,2.178649237472767,18,18
Tegalsari,2,0.0,48,49.23076923076923,2.051282051282051,7,8
Tenggilis Mejoyo,1,0.0,24,40.74702886247878,1.697792869269949,20,13
Wiyung,2,0.0,31,40.52287581699346,2.6143790849673203,13,14
Wonocolo,3,0.0,39,48.75,3.75,10,9
Wonokromo,3,0.0,59,38.411458333333336,1.953125,4,16
