feature,category,source,unit,missing_rate,interpretation,selected,reason
jumlah_penduduk,Demand,clean_penduduk.csv,Ribu,0.0%,Population size demand,YES,Primary demographic scale variable
kepadatan_penduduk,Demand,clean_penduduk.csv,km2,0.0%,Population density,YES,Indicates physical pressure on local facilities
visits_per_1000,Demand,clean_kunjungan.csv,"visits/1,000 pop",0.0%,Healthcare service pressure,YES,Measures actual primary care utilization density
disease_per_1000,Demand,clean_penyakit.csv,"cases/1,000 pop",0.0%,Disease burden need,YES,Measures disease burden of the community
nakes_per_1000,Workforce,clean_tenaga_kesehatan.csv,"nakes/1,000 pop",0.0%,Healthcare workforce ratio,YES,Core capacity indicator for healthcare labor
perawat_per_1000,Workforce,clean_tenaga_kesehatan.csv,"nurses/1,000 pop",0.0%,Nursing capacity ratio,YES,Measures core supporting medical workforce
faskes_per_100k,Facility,clean_faskes.csv,faskes/100k pop,0.0%,Total facilities ratio,YES,Measures spatial availability of all faskes
puskesmas_per_100k,Facility,clean_puskesmas.csv,pkm/100k pop,0.0%,Puskesmas availability ratio,YES,Primary care facility density
beds_per_1000,Facility,clean_tempat_tidur.csv,"beds/1,000 pop",0.0%,Bed capacity ratio,YES,Indicates inpatient healthcare capacity
accessibility_gap,Accessibility,GIS data (TBA),index,100.0%,Travel time accessibility,NO,GIS/spatial travel time data is not yet integrated
