column,kecamatan,value,lower_bound,upper_bound
jumlah_penduduk,Sawahan,198.5,-14.600000000000016,193.40000000000003
jumlah_penduduk,Tambaksari,227.0,-14.600000000000016,193.40000000000003
total_kunjungan,Kenjeran,202317.0,-25375.25,184850.75
total_kunjungan,Sawahan,185816.0,-25375.25,184850.75
total_tenaga_kesehatan,Gubeng,7087.0,-1587.75,3538.25
total_tenaga_kesehatan,Wonokromo,6286.0,-1587.75,3538.25
total_faskes,Gubeng,90.0,-13.75,80.25
total_tempat_tidur,Simokerto,2109.0,-390.75,747.25
total_tempat_tidur,Wonokromo,1503.0,-390.75,747.25
total_kasus_penyakit,Kenjeran,146591.0,-22065.75,141312.25
nakes_per_1000,Gubeng,53.527190332326285,-23.42976386062339,50.50876547040712
beds_per_1000,Simokerto,22.899022801302934,-5.921238359661096,11.108956094979806
disease_per_1000,Genteng,1133.505154639175,246.8453210506043,1119.184417447522
