kecamatan,jumlah_penduduk,kepadatan_penduduk,rank_penduduk,rank_kepadatan
Asemrowo,48.8,3245,29,30
Benowo,74.9,2813,19,31
Bubutan,96.7,24860,12,4
Bulak,47.8,7667,30,19
Dukuh Pakis,59.3,5784,25,23
Gayungan,43.8,7444,31,20
Genteng,58.2,14339,27,10
Gubeng,132.4,16757,6,9
Gunung Anyar,62.3,6142,24,22
Jambangan,54.2,13222,28,13
Karang Pilang,75.5,8041,18,18
Kenjeran,185.3,21774,3,6
Krembangan,114.9,13357,9,12
Lakarsantri,65.0,3440,22,29
Mulyorejo,88.2,5079,15,25
Pabean Cantian,73.9,13491,20,11
Pakal,64.5,3474,23,28
Rungkut,123.7,5397,7,24
Sambikerep,69.1,4023,21,26
Sawahan,198.5,27648,2,2
Semampir,183.3,20254,4,7
Simokerto,92.1,35271,13,1
Suko Manunggal,104.2,11237,10,15
Sukolilo,115.9,3845,8,27
Tambaksari,227.0,25309,1,3
Tandes,91.8,9234,14,17
Tegalsari,97.5,22624,11,5
Tenggilis Mejoyo,58.9,10143,26,16
Wiyung,76.5,6179,17,21
Wonocolo,80.0,12256,16,14
Wonokromo,153.6,18591,5,8
