kecamatan,total_kunjungan,visits_per_1000,rank_total_kunjungan,rank_visits_ratio
Asemrowo,42515.0,871.2090163934427,29,19
Benowo,53150.0,709.6128170894525,24,29
Bubutan,79779.0,825.0155118924508,16,21
Bulak,34306.0,717.6987447698746,31,28
Dukuh Pakis,55207.0,930.9780775716696,22,11
Gayungan,47364.0,1081.3698630136987,27,7
Genteng,70385.0,1209.364261168385,18,2
Gubeng,108091.0,816.3972809667673,8,23
Gunung Anyar,40850.0,655.6982343499197,30,31
Jambangan,48729.0,899.0590405904059,25,17
Karang Pilang,57768.0,765.1390728476821,21,25
Kenjeran,202317.0,1091.834862385321,1,6
Krembangan,127170.0,1106.7885117493472,6,4
Lakarsantri,77984.0,1199.753846153846,17,3
Mulyorejo,67353.0,763.6394557823129,19,26
Pabean Cantian,62895.0,851.082543978349,20,20
Pakal,46998.0,728.6511627906976,28,27
Rungkut,114949.0,929.2562651576394,7,12
Sambikerep,53769.0,778.1331403762664,23,24
Sawahan,185816.0,936.1007556675064,2,10
Semampir,166534.0,908.532460447354,3,15
Simokerto,84372.0,916.0912052117264,14,13
Suko Manunggal,94399.0,905.940499040307,12,16
Sukolilo,103941.0,896.816220880069,9,18
Tambaksari,155632.0,685.6035242290749,5,30
Tandes,100657.0,1096.4814814814815,10,5
Tegalsari,88715.0,909.897435897436,13,14
Tenggilis Mejoyo,48408.0,821.867572156197,26,22
Wiyung,81144.0,1060.7058823529412,15,8
Wonocolo,98841.0,1235.5125,11,1
Wonokromo,159194.0,1036.4192708333337,4,9
