kecamatan,jumlah_perawat,jumlah_bidan,jumlah_tenaga_medis,total_tenaga_kesehatan,nakes_per_1000,perawat_per_1000,rank_total_nakes,rank_nakes_ratio
Asemrowo,15,24,21,88.0,1.8032786885245904,0.3073770491803279,31,30
Benowo,395,104,178,937.0,12.510013351134846,5.273698264352469,19,15
Bubutan,47,70,60,295.0,3.050672182006205,0.4860392967942089,24,28
Bulak,80,23,44,267.0,5.585774058577406,1.6736401673640169,25,21
Dukuh Pakis,252,81,336,1132.0,19.0893760539629,4.249578414839798,16,10
Gayungan,523,116,388,1404.0,32.05479452054795,11.940639269406393,11,5
Genteng,731,104,530,1887.0,32.42268041237113,12.560137457044673,6,4
Gubeng,2738,284,1884,7087.0,53.527190332326285,20.679758308157098,1,1
Gunung Anyar,40,24,63,197.0,3.1621187800963084,0.6420545746388443,29,27
Jambangan,52,58,68,245.0,4.520295202952029,0.959409594095941,27,23
Karang Pilang,26,34,68,194.0,2.5695364238410594,0.3443708609271523,30,29
Kenjeran,47,58,57,252.0,1.359956826767404,0.25364274150026983,26,31
Krembangan,231,62,209,669.0,5.822454308093994,2.010443864229765,20,20
Lakarsantri,40,34,77,237.0,3.646153846153846,0.6153846153846154,28,25
Mulyorejo,1220,181,893,3122.0,35.3968253968254,13.83219954648526,4,3
Pabean Cantian,776,142,511,1931.0,26.129905277401893,10.500676589986467,5,7
Pakal,150,56,118,454.0,7.038759689922481,2.3255813953488373,22,18
Rungkut,330,127,259,1029.0,8.318512530315278,2.667744543249798,17,17
Sambikerep,373,101,412,1227.0,17.75687409551375,5.397973950795948,14,12
Sawahan,266,74,271,992.0,4.997481108312343,1.3400503778337531,18,22
Semampir,225,77,147,652.0,3.557010365521004,1.227495908346972,21,26
Simokerto,765,163,315,1678.0,18.21932681867536,8.306188925081434,8,11
Suko Manunggal,436,65,368,1178.0,11.30518234165067,4.18426103646833,15,16
Sukolilo,1107,199,1040,3199.0,27.601380500431404,9.551337359792925,3,6
Tambaksari,425,103,629,1554.0,6.845814977973569,1.8722466960352422,9,19
Tandes,118,67,74,374.0,4.074074074074074,1.2854030501089324,23,24
Tegalsari,419,69,480,1354.0,13.887179487179488,4.297435897435897,12,14
Tenggilis Mejoyo,437,84,414,1247.0,21.171477079796265,7.419354838709678,13,9
Wiyung,761,158,509,1866.0,24.392156862745097,9.947712418300654,7,8
Wonocolo,474,105,338,1406.0,17.575,5.925,10,13
Wonokromo,2884,414,1465,6286.0,40.92447916666667,18.776041666666668,2,2
